BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Io;KANEHEKILI FLUCTUS;IOFL1718S32663;Named formation;Flow terrain;FL;KANEHEKILI FLUCTUS;Approuved by IAU in 1997;God;Hawaii;Hawaiian;Not appliable;Not appliable;Not appliable;Not appliable;Hawaiian thunder god.;326.63;326°37';-17.18;-17°11';258.69;???;Io;2916;Kanehekili Fluctus;Kanehekili Fluctus;Fluctus, fluctÅ«s;FL;258.69;-17.18;326.63;-13.83;-21.13;330.82;323.46;Planetographic  +East  0 - 360;;Hawaiian thunder god.;Oceania;Hawaii;Approved;1997;147;10.01.2006;
Io;KANE PATERA;IOPE4842S34825;Named formation;Complex crater;PE;KANE PATERA;Approuved by IAU in 1979;God;Hawaii;Hawaiian;Not appliable;Not appliable;Not appliable;Not appliable;Hawaiian god of sunlight.;348.25;348°15';-48.42;-48°25';132.22;???;Io;2914;Kane Patera;Kane Patera;Patera, paterae;PE;132.22;-48.42;348.25;-47.1;-49.72;351.4;345.22;Planetographic  +East  0 - 360;;Hawaiian god of sunlight.;Oceania;Hawaii;Approved;1979;2;10.01.2006;
Io;KAREI PATERA;IOPE20N34683;Named formation;Complex crater;PE;KAREI PATERA;Approuved by IAU in 1997;God;Malaysia;Malaysian;Not appliable;Not appliable;Not appliable;Not appliable;Semangan (Malay Peninsula) thunder god.;346.83;346°49';0.2;0°12';35.37;???;Io;2926;Karei Patera;Karei Patera;Patera, paterae;PE;35.37;0.2;346.83;0.75;-0.32;347.26;346.38;Planetographic  +East  0 - 360;;Semangan (Malay Peninsula) thunder god.;Asia;Malaysia;Approved;1997;83;5/15/10;
Io;KAVA PATERA;IOPE1682S1859;Named formation;Complex crater;PE;KAVA PATERA;Approuved by IAU in 1985;Hero;Persia;Persian;Not appliable;Not appliable;Not appliable;Not appliable;Persian blacksmith.;18.59;18°35';-16.82;-16°49';63;???;Io;2965;Kava Patera;Kava Patera;Patera, paterae;PE;63;-16.82;18.59;-15.88;-17.83;19.56;17.62;Planetographic  +East  0 - 360;;Persian blacksmith.;Asia;Persian;Approved;1985;2;10.01.2006;
Io;KHALLA PATERA;IOPE618N5673;Named formation;Complex crater;PE;KHALLA PATERA;Approuved by IAU in 1985;Deity;Bushman people;Bushman;Not appliable;Not appliable;Not appliable;Not appliable;Bushman sun in form of man often referred to as the hunter.;56.73;56°43';6.18;6°10';95.79;???;Io;3003;Khalla Patera;Khalla Patera;Patera, paterae;PE;95.79;6.18;56.73;7.62;4.68;57.74;55.72;Planetographic  +East  0 - 360;;Bushman sun in form of man often referred to as the hunter.;Africa;Bushman;Approved;1985;30;10.01.2006;
Io;KIBERO PATERA;IOPE1183S5489;Named formation;Complex crater;PE;KIBERO PATERA;Approuved by IAU in 1982;Hero;Slavic people;Slavic;Not appliable;Not appliable;Not appliable;Not appliable;Yaroro toad who lives in underworld giving mankind fire.;54.89;54°53';-11.83;-11°50';63.13;???;Io;3021;Kibero Patera;Kibero Patera;Patera, paterae;PE;63.13;-11.83;54.89;-10.95;-12.85;55.74;53.99;Planetographic  +East  0 - 360;;Yaroro toad who lives in underworld giving mankind fire.;Europe;Slavic;Approved;1982;30;10.01.2006;
Io;KINICH AHAU PATERA;IOPE4935N4975;Named formation;Complex crater;PE;KINICH AHAU PATERA;Approuved by IAU in 2000;God;Mayan nation;Mayan;Not appliable;Not appliable;Not appliable;Not appliable;Mayan sun god.;49.75;49°45';49.35;49°21';44.26;???;Io;3041;Kinich Ahau Patera;Kinich Ahau Patera;Patera, paterae;PE;44.26;49.35;49.75;49.91;48.54;50.57;48.9;Planetographic  +East  0 - 360;;Mayan sun god.;South and Central America;Mayan;Approved;2000;83;10.01.2006;
Io;KURDALAGON PATERA;IOPE5057S14177;Named formation;Complex crater;PE;KURDALAGON PATERA;Approuved by IAU in 1997;Hero;Caucasus;Caucasian;Not appliable;Not appliable;Not appliable;Not appliable;Ossetian celestial smith.;141.77;141°46';-50.57;-50°34';81.12;???;Io;3166;Kurdalagon Patera;Kurdalagon Patera;Patera, paterae;PE;81.12;-50.57;141.77;-49.27;-51.82;143.07;140.47;Planetographic  +East  0 - 360;;Ossetian celestial smith.;Europe;Caucasus;Approved;1997;65;12/30/08;
Io;LAKI-OI PATERA;IOPE4000S30164;Named formation;Complex crater;PE;LAKI-OI PATERA;Approuved by IAU in 1997;Hero;Malaysia;Malaysian;Not appliable;Not appliable;Not appliable;Not appliable;Bornean hero who invented fire.;301.64;301°38';-40;-40°0';58.4;???;Io;3243;Laki-oi Patera;Laki oi Patera;Patera, paterae;PE;58.4;-40;301.64;-39.14;-40.89;302.89;300.51;Planetographic  +East  0 - 360;;Bornean hero who invented fire.;Asia;Malaysia;Approved;1997;83;10.01.2006;
Io;LEI-KUNG FLUCTUS;IOFL4013N15356;Named formation;Flow terrain;FL;LEI-KUNG FLUCTUS;Approuved by IAU in 1997;God;China;Chinese;Not appliable;Not appliable;Not appliable;Not appliable;Chinese thunder god.;153.56;153°33';40.13;40°7';347.45;???;Io;3333;Lei-Kung Fluctus;Lei Kung Fluctus;Fluctus, fluctÅ«s;FL;347.45;40.13;153.56;44.18;36.22;161.19;146.37;Planetographic  +East  0 - 360;;Chinese thunder god.;Asia;China;Approved;1997;83;10.01.2006;
Io;LEI-ZI FLUCTUS;IOFL1348N31507;Named formation;Flow terrain;FL;LEI-ZI FLUCTUS;Approuved by IAU in 2000;Goddess;China;Chinese;Not appliable;Not appliable;Not appliable;Not appliable;Chinese goddess of thunder.;315.07;315°4';13.48;13°28';176.92;???;Io;3334;Lei-zi Fluctus;Lei zi Fluctus;Fluctus, fluctÅ«s;FL;176.92;13.48;315.07;14.9;10.08;316.23;311.69;Planetographic  +East  0 - 360;;Chinese goddess of thunder.;Asia;China;Approved;2000;127;10.01.2006;
Io;LERNA REGIO;IORE6180S6792;Named formation;Broad geographic region;RE;LERNA REGIO;Approuved by IAU in 1979;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. meadows of Lyrcea.;67.92;67°55';-61.8;-61°48';580.94;???;Io;3357;Lerna Regio;Lerna Regio;Regio, regiones;RE;580.94;-61.8;67.92;-53.42;-70.24;84.31;50.12;Planetographic  +East  0 - 360;;Greek. meadows of Lyrcea.;Europe;Greek;Approved;1979;21;10.01.2006;
Io;LLEW PATERA;IOPE1216N11766;Named formation;Complex crater;PE;LLEW PATERA;Approuved by IAU in 2006;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic sun god.;117.66;117°39';12.16;12°9';73.29;???;Io;3433;Llew Patera;Llew Patera;Patera, paterae;PE;73.29;12.16;117.66;12.89;11.44;118.83;116.49;Planetographic  +East  0 - 360;;Celtic sun god.;Europe;Celtic;Approved;2006;128;10.01.2006;
Io;LOKI;IOER1841N5742;Named formation;Active volcanic center;ER;LOKI;Approuved by IAU in 1979;God;Norway;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Norse blacksmith, trickster god.;57.42;57°25';18.41;18°24';0;???;Io;3458;Loki;Loki;Eruptive center;ER;0;18.41;57.42;;;;;Planetographic  +East  0 - 360;;Norse blacksmith, trickster god.;Europe;Norse;Approved;1979;1;10.01.2006;
Io;LOKI PATERA;IOPE1301N5121;Named formation;Complex crater;PE;LOKI PATERA;Approuved by IAU in 1979;God;Norway;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Norse blacksmith, trickster god.;51.21;51°12';13.01;13°0';226.57;???;Io;3459;Loki Patera;Loki Patera;Patera, paterae;PE;226.57;13.01;51.21;16.94;9.84;54.31;48.29;Planetographic  +East  0 - 360;;Norse blacksmith, trickster god.;Europe;Norse;Approved;1979;1;10.01.2006;
Io;LU HUO PATERA;IOPE3856S690;Named formation;Complex crater;PE;LU HUO PATERA;Approuved by IAU in 1985;God;China;Chinese;Not appliable;Not appliable;Not appliable;Not appliable;Stove fire associated with Chinese god of the hearth fire.;6.9;6°54';-38.56;-38°34';66.62;???;Io;3496;Lu Huo Patera;Lu Huo Patera;Patera, paterae;PE;66.62;-38.56;6.9;-37.86;-39.28;8.17;5.82;Planetographic  +East  0 - 360;;Stove fire associated with Chinese god of the hearth fire.;Asia;China;Approved;1985;30;10.01.2006;
Io;LYRCEA PLANUM;IOPM4199S9057;Named formation;Plateau or elevated plain;PM;LYRCEA PLANUM;Approuved by IAU in 1985;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Plain where Io was born.;90.57;90°34';-41.99;-41°59';424.95;???;Io;3539;Lyrcea Planum;Lyrcea Planum;Planum, plana;PM;424.95;-41.99;90.57;-37;-48.06;103.23;86.75;Planetographic  +East  0 - 360;;Plain where Io was born.;Europe;Greek;Approved;1985;19;04.09.2009;
Io;MAASAW PATERA;IOPE4028S2089;Named formation;Complex crater;PE;MAASAW PATERA;Approuved by IAU in 1979;God;Hopi people;Hopi;Not appliable;Not appliable;Not appliable;Not appliable;Hopi (USA) god of fire and death.;20.89;20°53';-40.28;-40°17';44.07;???;Io;3549;Maasaw Patera;Maasaw Patera;Patera, paterae;PE;44.07;-40.28;20.89;-39.72;-41;21.44;20.23;Planetographic  +East  0 - 360;;Hopi (USA) god of fire and death.;North America;Hopi;Approved;1979;1;10.01.2006;
