BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info;;
Europe;ASTERIUS LINEA;EULI1490N8920;Formation nommée;Ligne allongée sombre ou brillante;LI;ASTERIUS LINEA;Approuvé par l'UAI en 1979;Dieu;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Mari d'Europe après son aventure avec Zeus.;89,20;89°12';14,90;14°54';1 943,00;???;Europa;438;Asterius Linea;Asterius Linea;Linea, lineae;LI;1 943,00;14.9;89.2;34.8;-13.8;117.4;61.7;Planetographic  +East  0 - 360;;"Greek; Europa's husband after Zeus.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;ASTYPALAEA LINEA;EULI7580S14790;Formation nommée;Ligne allongée sombre ou brillante;LI;ASTYPALAEA LINEA;Approuvé par l'UAI en 1997;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Sur d'Europe.;147,90;147°54';-75,80;-75°-47';817,00;???;Europa;443;Astypalaea Linea;Astypalaea Linea;Linea, lineae;LI;817,00;-75.8;147.9;-64.2;-75.7;166,00;76.1;Planetographic  +East  0 - 360;;Sister of Europa.;Europe;Greek;Approved;1997;1;10/01/2006;;;
Europe;AUTONOE LINEA;EULI1820N19490;Formation nommée;Ligne allongée sombre ou brillante;LI;AUTONOE LINEA;Approuvé par l'UAI en 2000;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Fille d'Harmonia & Cadmus dans la mythologie grecque.;194,90;194°54';18,20;18°12';760,00;???;Europa;494;AutonoÃ« Linea;Autonoe Linea;Linea, lineae;LI;760,00;18.2;194.9;28.6;5,00;204.1;189.9;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus in Greek mythology.;Europe;Greek;Approved;2000;1;11/17/08;;;
Europe;AVAGDDU;EUAA140N19050;Formation nommée;Cratère;AA;AVAGDDU;Approuvé par l'UAI en 2000;Divinité;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Divinité celte de l'orage. Fils malade de Tegid le Bald.;190,50;190°30';1,40;1°24';10,00;10;Europa;499;Avagddu;Avagddu;Crater, craters;AA;10,00;1.4;190.5;1.6;1.2;190.6;190.3;Planetographic  +East  0 - 360;;Celtic storm deity, ill-fated son of Tegid the Bald.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
Europe;BALGATAN REGIO;EURE5000S33000;Formation nommée;Grande région géographique;RE;BALGATAN REGIO;Approuvé par l'UAI le 11 Mai 2007;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dans la mythologie celte, passe dans laquelle Tuatha Dannan battit en retraite avant la bataille avec les Fir Bolgs.;330,00;330°0';-50,00;-50°0';2 500,00;???;Europa;14292;Balgatan Regio;Balgatan Regio;Regio, regiones;RE;2 500,00;-50,00;330,00;-15,00;-77,00;240,00;60,00;Planetographic  +East  0 - 360;;In Celtic mythology, pass to which the Tuatha DÃ© Dannan retreated before the battle with the Fir Bolgs.;Europe;Celtic;Approved;May 11, 2007;128;11/17/08;;;
Europe;BALOR;EUAA5280S26220;Formation nommée;Cratère;AA;BALOR;Approuvé par l'UAI en 2000;Dieu;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dieu celte de la nuit dont le mauvais oeil cause la mort de ceux qu'il fixe.;262,20;262°11';-52,80;-52°-47';4,80;4,8;Europa;581;Balor;Balor;Crater, craters;AA;4.8;-52.8;262.2;;;;;Planetographic  +East  0 - 360;;Celtic god of the night whose evil eye caused the death of those on whom it glanced.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
Europe;BELUS LINEA;EULI930N12860;Formation nommée;Ligne allongée sombre ou brillante;LI;BELUS LINEA;Approuvé par l'UAI en 1979;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Frère jumeau d'Agénor.;128,60;128°35';9,30;9°18';2 437,00;???;Europa;681;Belus Linea;Belus Linea;Linea, lineae;LI;2 437,00;9.3;128.6;24.3;-4.9;168,00;84.1;Planetographic  +East  0 - 360;;"Greek; Agenor's twin brother.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;BOEOTIA MACULA;EUMA5360S19320;Formation nommée;Tache sombre;MA;BOEOTIA MACULA;Approuvé par l'UAI en 1997;Endroit;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Endroit ou Cadmus conduisit sa vache avant qu'il ne stoppe à Thèbes.;193,20;193°11';-53,60;-53°-36';30,00;???;Europa;792;Boeotia Macula;Boeotia Macula;Macula, maculae;MA;30,00;-53.6;193.2;-53.1;-54.3;193.8;192.5;Planetographic  +East  0 - 360;;Place where Cadmus led cow before it stopped at site of Thebes.;Europe;Greek;Approved;1997;19;10/01/2006;;;
Europe;BRESS;EUAA3764N26134;Formation nommée;Cratère;AA;BRESS;Approuvé par l'UAI en 2006;Divinité;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Fils d'Elatha dans la mythologie celtique.;261,34;261°20';37,64;37°38';10,00;10;Europa;6967;Bress;Bress;Crater, craters;AA;10,00;37.64;261.34;37.8;37.5;261.6;261.09;Planetographic  +East  0 - 360;;Beautiful son of Elatha in Celtic mythology.;Europe;Celtic;Approved;2006;128;10/01/2006;;;
Europe;BRIGID;EUAA1080N27870;Formation nommée;Cratère;AA;BRIGID;Approuvé par l'UAI en 2000;Déesse;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celte de la guérison, de la fertilité et de la poésie.;278,70;278°41';10,80;10°48';9,50;9,5;Europa;882;Brigid;Brigid;Crater, craters;AA;9.5;10.8;278.7;;;;;Planetographic  +East  0 - 360;;Celtic goddess of healing, smiths, fertility and poetry.;Europe;Celtic;Approved;2000;160;10/01/2006;;;
