BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Mars;AEOLIS PLANUM;MAPM115S14476;Named formation;Plateau or high plain;PM;AEOLIS PLANUM;Approved by IAU on 2006;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;144,76;144 ° 46 ' ;-1,15;1 ° 9 '  South;mc23;852.81;???;Mars;14165;Aeolis Planum;Aeolis Planum;Planum, plana;PM;852.81;-1.15;144.76;4.46;-6.76;149.98;139.08;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;2006;71;10/01/2006
Mars;AEOLIS SERPENS;MASE140S14957;Named formation;Sinuous feature;SE;AEOLIS SERPENS;Approved by IAU on Aug 27, 2012;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;149,57;149 ° 34 ' ;-1,40;1 ° 24 '  South;mc23;538.55;???;Mars;15031;Aeolis Serpens;Aeolis Serpens;Serpens, serpentes;SE;538.55;-1.4;149.57;2.51;-4.96;152,00;147.68;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;Aug 27, 2012;57;8/27/12
Mars;AERIA;MAAL1000N5000;Named formation;Albedo feature;AL;AERIA;Approved by IAU on 1958;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Greek name for Egypt; ""far land of mist"".";50,00;50 ° 0 ' ;10,00;10 ° 0 '  North;mc13;???;???;Mars;68;Aeria;Aeria;Formation à albédo;AL;0,00;10,00;50,00;;;;;Planetographic  +East  0 - 360;mc13;"Greek name for Egypt; ""far land of mist"".";Europe;Greek;Approved;1958;60;10/01/2006
Mars;AESACUS DORSUM;MADO3714N15315;Named formation;Ridge;DO;AESACUS DORSUM;Approved by IAU on 1985;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From albedo feature at 45N, 205W.;153,15;153 ° 9 ' ;37,14;37 ° 8 '  North;mc07;276.69;???;Mars;69;Aesacus Dorsum;Aesacus Dorsum;Dorsum, dorsa;DO;276.69;37.14;153.15;39.02;35.02;154.72;152.28;Planetographic  +East  0 - 360;mc07;From albedo feature at 45N, 205W.;Europe;Greek;Approved;1985;57;10/01/2006
Mars;AETHERIA;MAAL4000N13000;Named formation;Albedo feature;AL;AETHERIA;Approved by IAU on 1958;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Upper world; land of living.";130,00;130 ° 0 ' ;40,00;40 ° 0 '  North;mc07;???;???;Mars;71;Aetheria;Aetheria;Formation à albédo;AL;0,00;40,00;130,00;;;;;Planetographic  +East  0 - 360;mc07;"Upper world; land of living.";Europe;Greek;Approved;1958;60;10/01/2006
Mars;AETHIOPIS;MAAL1000N13000;Named formation;Albedo feature;AL;AETHIOPIS;Approved by IAU on 1958;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Countries of the Ethiopians on southern edge of the Earth.;130,00;130 ° 0 ' ;10,00;10 ° 0 '  North;mc14;???;???;Mars;72;Aethiopis;Aethiopis;Formation à albédo;AL;0,00;10,00;130,00;;;;;Planetographic  +East  0 - 360;mc14;Countries of the Ethiopians on southern edge of the Earth.;Europe;Greek;Approved;1958;60;10/01/2006
Mars;AGANIPPE FOSSA;MAFO859S23400;Named formation;Long and narrow depression;FO;AGANIPPE FOSSA;Approved by IAU on 1976;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;234,00;234 ° 0 ' ;-8,59;8 ° 35 '  South;mc17;537.16;???;Mars;79;Aganippe Fossa;Aganippe Fossa;Fossa, fossae;FO;537.16;-8.59;234,00;-4.11;-12.99;235.23;233.14;Planetographic  +East  0 - 360;mc17;Classical albedo feature name.;Europe;Greek;Approved;1976;57;10/01/2006
Mars;AGASSIZ;MAAA7010S27111;Named formation;Crater;AA;AGASSIZ Jean L.;Approved by IAU on 1973;Naturalist;U.S.A.;American;19;19th century;???;1807;???;1873;;271,11;271 ° 7 ' ;-70,10;70 ° 6 '  South;mc30;108,77;108,77;Mars;81;Agassiz;Agassiz;Crater, craters;AA;108.77;-70.1;271.11;-69.19;-71.01;273.8;268.46;Planetographic  +East  0 - 360;mc30;"Jean L.; American naturalist (1807-1873).";North America;American;Approved;1973;68;11/17/10
Mars;AIRY;MAAA520S5;Named formation;Crater;AA;AIRY George B.;Approved by IAU on 1973;Astronomer;Great Britain;British;19;19th century;???;1801;???;1892;;0,05;0 ° 3 ' ;-5,20;5 ° 12 '  South;mc20;43,05;43,05;Mars;114;Airy;Airy;Crater, craters;AA;43.05;-5.2;0.05;-4.83;-5.57;0.42;-0.31;Planetographic  +East  0 - 360;mc20;"George B.; British astronomer (1801-1892).";Europe;Great Britain;Approved;1973;68;11/17/10
Mars;AIRY 0;MAAA513S0;Named formation;Crater;AA;AIRY 0;Approved by IAU on 2003;Not appliable;Great Britain;British;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Small crater within crater Airy that defines zero degrees longitude on Mars.;0,00;0 ° 0 ' ;-5,13;5 ° 8 '  South;mc20;0,79;0,79;Mars;115;Airy-0;Airy 0;Crater, craters;AA;0.79;-5.13;0,00;-5.13;-5.14;0.01;-0.01;Planetographic  +East  0 - 360;mc20;Small crater within crater Airy that defines zero degrees longitude on Mars.;Europe;Great Britain;Approved;2003;172;11/17/10
