BODY;NAME;P.U.N.;NAME TYPE;TYPE;TYPECODE;NAME DETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;SID CATENA;CACA4920N25610;Named formation;Craters chain;CA;SID CATENA;Approuved by IAU in 1997;Not appliable;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;River.;256,10;256°6';49,20;49°12';81,40;???;Callisto;5517;Sid Catena;Sid Catena;Catena, catenae;CA;81.4;49.2;256.1;50.2;48.4;257.2;255.3;Planetographic  +East  0 - 360;;Norse river.;Europe;Norse;Approved;1997;136;10/01/2006;
Callisto;SIGYN;CAAA3590N33100;Named formation;Crater;AA;SIGYN;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Loki's wife.;331,00;331°0';35,90;35°53';49,80;49,80;Callisto;5530;Sigyn;Sigyn;Crater, craters;AA;49.8;35.9;331,00;36.5;35.3;331.7;330.2;Planetographic  +East  0 - 360;;"Norse; Loki's wife.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;SKEGGOLD;CAAA4970S32810;Named formation;Crater;AA;SKEGGOLD;Approuved by IAU in 1997;Hero;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Servant of the gods.;328,10;328°6';-49,70;-49°42';43,00;43,00;Callisto;5591;Skeggold;Skeggold;Crater, craters;AA;43,00;-49.7;328.1;-49.2;-50.2;328.9;327.3;Planetographic  +East  0 - 360;;Servant of the gods.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;SKOLL;CAAA5560N4440;Named formation;Crater;AA;SKOLL;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Wolf.;44,40;44°23';55,60;55°36';59,60;59,60;Callisto;5597;SkÇôll;Skoll;Crater, craters;AA;59.6;55.6;44.4;56.3;54.9;45.7;43.5;Planetographic  +East  0 - 360;;Norse wolf.;Europe;Norse;Approved;1979;17;11/17/08;
Callisto;SKULD;CAAA1000N32210;Named formation;Crater;AA;SKULD;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Maiden living near Yggdrasill who governed the fate of humans.;322,10;322°6';10,00;10°0';91,80;91,80;Callisto;5594;Skuld;Skuld;Crater, craters;AA;91.8;10,00;322.1;11.1;8.9;323.2;321.3;Planetographic  +East  0 - 360;;"Norse; maiden living near Yggdrasill who governed the fate of humans.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;SUDRI;CAAA5590N22440;Named formation;Crater;AA;SUDRI;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;224,40;224°24';55,90;55°53';69,50;69,50;Callisto;5745;Sudri;Sudri;Crater, craters;AA;69.5;55.9;224.4;56.6;55.1;226.1;222.9;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;SUMBUR;CAAA6710N3480;Named formation;Crater;AA;SUMBUR;Approuved by IAU in 1979;Not appliable;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;World mountain.;34,80;34°47';67,10;67°5';37,90;37,90;Callisto;5758;Sumbur;Sumbur;Crater, craters;AA;37.9;67.1;34.8;67.6;66.7;36.1;33.9;Planetographic  +East  0 - 360;;Russian (Buriat) world mountain.;Asia;Buriat;Approved;1979;27;12/30/08;
Callisto;SVOL CATENA;CACA1060N32280;Named formation;Craters chain;CA;SVOL CATENA;Approuved by IAU in 1997;Not appliable;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;River.;322,80;322°48';10,60;10°36';161,00;???;Callisto;5784;Svol Catena;Svol Catena;Catena, catenae;CA;161,00;10.6;322.8;11.9;9.2;324.2;321.3;Planetographic  +East  0 - 360;;Norse river.;Europe;Norse;Approved;1997;136;10/01/2006;
Callisto;TAPIO;CAAA3010N25140;Named formation;Crater;AA;TAPIO;Approuved by IAU in 1988;Deity;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Deity of the wood who sends game to the hunter.;251,40;251°24';30,10;30°6';52,20;52,20;Callisto;5863;Tapio;Tapio;Crater, craters;AA;52.2;30.1;251.4;30.6;29.5;252.1;250.7;Planetographic  +East  0 - 360;;Finnish deity of the wood who sends game to the hunter.;Europe;Finland;Approved;1988;64;10/01/2006;
Callisto;THEKKR;CAAA8030S29800;Named formation;Crater;AA;THEKKR;Approuved by IAU in 1997;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;298,00;298°0';-80,30;-80°17';13,00;13,00;Callisto;5960;Thekkr;Thekkr;Crater, craters;AA;13,00;-80.3;298,00;-80.2;-80.5;299,00;297.1;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1997;17;10/01/2006;
