BODY;NAME;P.U.N.;NAME TYPE;TYPE;TYPECODE;NAME DETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;GONDUL;CAAA6000N24590;Named formation;Crater;AA;GONDUL;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;A Valkyrie.;245,90;245°54';60,00;60°0';45,50;45,50;Callisto;2304;GÇôndul;Gondul;Crater, craters;AA;45.5;60,00;245.9;60.4;59.4;246.9;244.7;Planetographic  +East  0 - 360;;"Norse; a Valkyrie.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;GRIMR;CAAA4150N14540;Named formation;Crater;AA;GRIMR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;A name for Odin.;145,40;145°24';41,50;41°30';103,20;103,20;Callisto;2254;Grimr;Grimr;Crater, craters;AA;103.2;41.5;145.4;42.8;40.4;147.2;143.9;Planetographic  +East  0 - 360;;"Norse; a name for Odin.";Europe;Norse;Approved;1979;1;10/01/2006;
Callisto;GUNNR;CAAA6460N25530;Named formation;Crater;AA;GUNNR;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;A Valkyrie.;255,30;255°18';64,60;64°35';61,10;61,10;Callisto;2285;Gunnr;Gunnr;Crater, craters;AA;61.1;64.6;255.3;65.2;63.9;257,00;253.5;Planetographic  +East  0 - 360;;"Norse; a Valkyrie.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;GUNNTRO CATENA;CACA1950S1690;Named formation;Craters chain;CA;GUNNTRO CATENA;Approuved by IAU in 1997;Not appliable;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;River.;16,90;16°53';-19,50;-19°30';149,00;???;Callisto;2286;Gunntro Catena;Gunntro Catena;Catena, catenae;CA;149,00;-19.5;16.9;-19.2;-20.2;19.4;15,00;Planetographic  +East  0 - 360;;Norse river.;Europe;Norse;Approved;1997;136;04/09/2009;
Callisto;GYMIR;CAAA6370N31120;Named formation;Crater;AA;GYMIR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Another name for the sea-god, Legir.;311,20;311°11';63,70;63°42';40,60;40,60;Callisto;2301;Gymir;Gymir;Crater, craters;AA;40.6;63.7;311.2;64.2;63.3;312.2;310,00;Planetographic  +East  0 - 360;;"Norse; another name for the sea-god, Legir.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;HABROK;CAAA7620N22810;Named formation;Crater;AA;HABROK;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Hawk.;228,10;228°5';76,20;76°12';37,20;37,20;Callisto;2618;HÇ­brok;Habrok;Crater, craters;AA;37.2;76.2;228.1;76.5;75.8;229.4;226.3;Planetographic  +East  0 - 360;;"Norse; a hawk.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;HAKI;CAAA2500N4490;Named formation;Crater;AA;HAKI;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Giant.;44,90;44°53';25,00;25°0';72,20;72,20;Callisto;2318;Haki;Haki;Crater, craters;AA;72.2;25,00;44.9;25.9;24.2;45.8;43.9;Planetographic  +East  0 - 360;;Norse giant.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;HAR;CAAA350S200;Named formation;Crater;AA;HAR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Another name for Odin.;2,00;2°0';-3,50;-3°30';52,20;52,20;Callisto;2619;HÇ­r;Har;Crater, craters;AA;52.2;-3.5;2,00;-3,00;-4.2;2.6;1.3;Planetographic  +East  0 - 360;;"Norse; a name for Odin.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;HEIMDALL;CAAA6350S300;Named formation;Crater;AA;HEIMDALL;Approuved by IAU in 2000;God;Germany;Teutonic;Not appliable;Not appliable;Not appliable;Not appliable;God of light, guardian of the great bridge Bifrast.;3,00;3°0';-63,50;-63°30';210,00;210,00;Callisto;2413;Heimdall;Heimdall;Crater, craters;AA;210,00;-63.5;3,00;-61.1;-66.1;8.1;360,00;Planetographic  +East  0 - 360;;Teutonic god of light, guardian of the great bridge BifrÇôst.;Europe;Teutonic;Approved;2000;1;11/17/08;
Callisto;HEPTI;CAAA6450N33660;Named formation;Crater;AA;HEPTI;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;336,60;336°36';64,50;64°30';48,60;48,60;Callisto;2460;Hepti;Hepti;Crater, craters;AA;48.6;64.5;336.6;65.1;63.9;337.8;335.5;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;HIJSI;CAAA6310N18850;Named formation;Crater;AA;HIJSI;Approuved by IAU in 1988;God;Siberia;Karelian;Not appliable;Not appliable;Not appliable;Not appliable;Deity of hunting.;188,50;188°30';63,10;63°6';54,10;54,10;Callisto;2500;Hijsi;Hijsi;Crater, craters;AA;54.1;63.1;188.5;63.7;62.6;189.8;187.1;Planetographic  +East  0 - 360;;Karelian deity of hunting.;Europe;Karelia;Approved;1988;64;12/30/08;
Callisto;HODR;CAAA6910N27080;Named formation;Crater;AA;HODR;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Baldr's blind brother who shot Baldr unknowingly.;270,80;270°48';69,10;69°5';76,50;76,50;Callisto;2622;HÇôdr;Hodr;Crater, craters;AA;76.5;69.1;270.8;70.1;68.2;273.2;268.2;Planetographic  +East  0 - 360;;"Norse; Baldr's blind brother who shot Baldr unknowingly.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;HOENIR;CAAA3370S9910;Named formation;Crater;AA;HOENIR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;God who gave souls to first humans.;99,10;99°5';-33,70;-33°42';81,10;81,10;Callisto;2531;Hoenir;Hoenir;Crater, craters;AA;81.1;-33.7;99.1;-32.7;-34.7;100.3;97.9;Planetographic  +East  0 - 360;;"Norse; god who gave souls to first humans.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;HOGNI;CAAA1180S35520;Named formation;Crater;AA;HOGNI;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;355,20;355°11';-11,80;-11°48';76,00;76,00;Callisto;2623;HÇôgni;Hogni;Crater, craters;AA;76,00;-11.8;355.2;-10.8;-12.6;356,00;354.3;Planetographic  +East  0 - 360;;"Norse; Ottar's ancestor.";Europe;Norse;Approved;1979;17;11/17/08;
Callisto;HOLDR;CAAA4390N25180;Named formation;Crater;AA;HOLDR;Approuved by IAU in 1988;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Son of Karl and Snor in Rigdismal.;251,80;251°48';43,90;43°53';68,10;68,10;Callisto;2624;HÇôldr;Holdr;Crater, craters;AA;68.1;43.9;251.8;44.6;43.3;252.9;250.7;Planetographic  +East  0 - 360;;Son of Karl and Snor in Rigdismal.;Europe;Norse;Approved;1988;17;11/17/08;
Callisto;IGALUK;CAAA560N4400;Named formation;Crater;AA;IGALUK;Approuved by IAU in 1979;Deity;Alaska;Alaskan;Not appliable;Not appliable;Not appliable;Not appliable;Another name of the Moon.;44,00;44°0';5,60;5°36';111,70;111,70;Callisto;2655;Igaluk;Igaluk;Crater, craters;AA;111.7;5.6;44,00;6.9;4.4;45.2;42.6;Planetographic  +East  0 - 360;;Alaskan name of the Moon.;North America;Eskimo;Approved;1979;26;10/01/2006;
Callisto;ILMA;CAAA2990S19280;Named formation;Crater;AA;ILMA;Approuved by IAU in 1988;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;A celestial divinity of air.;192,80;192°48';-29,90;-29°53';102,00;102,00;Callisto;2667;Ilma;Ilma;Crater, craters;AA;102,00;-29.9;192.8;-29.1;-30.7;194.1;191.5;Planetographic  +East  0 - 360;;A celestial divinity of air.;Europe;Finland;Approved;1988;1;10/01/2006;
Callisto;IVARR;CAAA580S3860;Named formation;Crater;AA;IVARR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;38,60;38°36';-5,80;-5°48';73,10;73,10;Callisto;2760;Ivarr;Ivarr;Crater, craters;AA;73.1;-5.8;38.6;-5,00;-6.6;39.5;37.7;Planetographic  +East  0 - 360;;"Norse; Ottar's ancestor.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;JALKR;CAAA3860S27730;Named formation;Crater;AA;JALKR;Approuved by IAU in 1997;God;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Another name for Odinn.;277,30;277°18';-38,60;-38°36';93,50;93,50;Callisto;2789;Jalkr;Jalkr;Crater, craters;AA;93.5;-38.6;277.3;-37.6;-39.6;278.7;275.9;Planetographic  +East  0 - 360;;Another name for Odinn.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;JUMAL;CAAA5890N24200;Named formation;Crater;AA;JUMAL;Approuved by IAU in 1988;God;Estonia;Estonian;Not appliable;Not appliable;Not appliable;Not appliable;Sky god.;242,00;242°0';58,90;58°53';58,50;58,50;Callisto;2862;Jumal;Jumal;Crater, craters;AA;58.5;58.9;242,00;59.7;58.2;243.2;240.6;Planetographic  +East  0 - 360;;Estonian sky god.;Europe;Estonia;Approved;1988;64;10/01/2006;
Callisto;JUMO;CAAA6570N34820;Named formation;Crater;AA;JUMO;Approuved by IAU in 1979;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Heaven god.;348,20;348°11';65,70;65°42';43,60;43,60;Callisto;2866;Jumo;Jumo;Crater, craters;AA;43.6;65.7;348.2;66.2;65.2;349.4;347.1;Planetographic  +East  0 - 360;;Finno-Ugric heaven god.;Europe;Finland;Approved;1979;27;10/01/2006;
Callisto;KARI;CAAA4820N24370;Named formation;Crater;AA;KARI;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;243,70;243°41';48,20;48°12';34,50;34,50;Callisto;3178;KÇ­ri;Kari;Crater, craters;AA;34.5;48.2;243.7;48.6;47.9;244.2;243,00;Planetographic  +East  0 - 360;;Ottar's ancestor.;Europe;Norse;Approved;1979;17;11/17/08;
Callisto;KARL;CAAA5640N2940;Named formation;Crater;AA;KARL;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Rigr's son with Amma.;29,40;29°23';56,40;56°23';34,00;34,00;Callisto;2929;Karl;Karl;Crater, craters;AA;34,00;56.4;29.4;56.8;56,00;30.1;28.7;Planetographic  +East  0 - 360;;"Norse; Rigr's son with Amma.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;KEELUT;CAAA7680S26910;Named formation;Crater;AA;KEELUT;Approuved by IAU in 1997;Spirit;Greenland;Eskimo;Not appliable;Not appliable;Not appliable;Not appliable;Evil spirit who resembles a hairless dog.;269,10;269°6';-76,80;-76°47';64,00;64,00;Callisto;2978;Keelut;Keelut;Crater, craters;AA;64,00;-76.8;269.1;-76.1;-77.6;272.4;265.4;Planetographic  +East  0 - 360;;Eskimo evil spirit who resembles a hairless dog.;North America;Eskimo;Approved;1997;1;10/01/2006;
Callisto;KOL FACULA;CAFA450N7730;Named formation;Bright spot;FA;KOL FACULA;Approuved by IAU in 2006;Hero;Iceland;Icelandic;Not appliable;Not appliable;Not appliable;Not appliable;Frost or storm giant.;77,30;77°17';4,50;4°30';390,00;???;Callisto;14135;Kol Facula;Kol Facula;Facula, faculae;FA;390,00;4.5;77.3;9.5;0.44;81.7;73.7;Planetographic  +East  0 - 360;;Icelandic frost or storm giant.;Europe;Iceland;Approved;2006;83;10/01/2006;
Callisto;KUL ;CAAA6290N23810;Named formation;Crater;AA;KUL ;Approuved by IAU in 1988;Spirit;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Wood spirit.;238,10;238°5';62,90;62°53';40,50;40,50;Callisto;3147;Kul';Kul ;Crater, craters;AA;40.5;62.9;238.1;63.3;62.3;238.9;236.9;Planetographic  +East  0 - 360;;Komi wood spirit.;Europe;Russia;Approved;1988;64;12/30/08;
Callisto;LEMPO;CAAA2520S4010;Named formation;Crater;AA;LEMPO;Approuved by IAU in 1988;Spirit;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Evil spirit.;40,10;40°6';-25,20;-25°12';41,30;41,30;Callisto;3343;Lempo;Lempo;Crater, craters;AA;41.3;-25.2;40.1;-24.7;-25.7;40.6;39.5;Planetographic  +East  0 - 360;;Finno-Ugric evil spirit.;Europe;Finland;Approved;1988;1;10/01/2006;
Callisto;LJEKIO;CAAA4910N19770;Named formation;Crater;AA;LJEKIO;Approuved by IAU in 1988;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;God of grass, roots of trees.;197,70;197°41';49,10;49°6';23,80;23,80;Callisto;3431;Ljekio;Ljekio;Crater, craters;AA;23.8;49.1;197.7;49.4;48.8;198.2;197.3;Planetographic  +East  0 - 360;;Finnish god of grass, roots of trees.;Europe;Finland;Approved;1988;64;10/01/2006;
Callisto;LODURR;CAAA5080S8990;Named formation;Crater;AA;LODURR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;God who gave first humans goodly color.;89,90;89°54';-50,80;-50°47';72,00;72,00;Callisto;3447;Lodurr;Lodurr;Crater, craters;AA;72,00;-50.8;89.9;-50,00;-51.7;91.1;88.6;Planetographic  +East  0 - 360;;"Norse; god who gave first humans goodly color.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;LOFN;CAAA5650S33770;Named formation;Crater;AA;LOFN;Approuved by IAU in 1997;Goddess;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Goddess of marriage.;337,70;337°41';-56,50;-56°30';200,00;200,00;Callisto;3451;Lofn;Lofn;Crater, craters;AA;200,00;-56.5;337.7;-54.5;-58.4;341.9;333.3;Planetographic  +East  0 - 360;;Norse goddess of marriage.;Europe;Norse;Approved;1997;83;10/01/2006;
Callisto;LONI;CAAA360S14570;Named formation;Crater;AA;LONI;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;145,70;145°41';-3,60;-3°36';85,00;85,00;Callisto;3466;Loni;Loni;Crater, craters;AA;85,00;-3.6;145.7;-2.6;-4.6;146.6;144.6;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;LOSY;CAAA6530N3670;Named formation;Crater;AA;LOSY;Approuved by IAU in 1979;God;Mongolia;Mongolian;Not appliable;Not appliable;Not appliable;Not appliable;Evil snake. tried to kill all living things.;36,70;36°42';65,30;65°17';62,10;62,10;Callisto;3477;Losy;Losy;Crater, craters;AA;62.1;65.3;36.7;66,00;64.6;38.5;35.2;Planetographic  +East  0 - 360;;"Mongolian; Mongol evil snake; tried to kill all living things.";Asia;Mongolia;Approved;1979;27;10/01/2006;
Callisto;LYCAON;CAAA4540S35410;Named formation;Crater;AA;LYCAON;Approuved by IAU in 1997;Semi-god;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Callisto's father.;354,10;354°6';-45,40;-45°23';59,00;59,00;Callisto;3527;Lycaon;Lycaon;Crater, craters;AA;59,00;-45.4;354.1;-44.8;-45.9;355.2;353.2;Planetographic  +East  0 - 360;;Callisto's father.;Europe;Greek;Approved;1997;83;10/01/2006;
Callisto;MADERATCHA;CAAA3070N26470;Named formation;Crater;AA;MADERATCHA;Approuved by IAU in 1988;God;Lapland;Saami;Not appliable;Not appliable;Not appliable;Not appliable;Sky god.;264,70;264°41';30,70;30°42';66,20;66,20;Callisto;3565;Maderatcha;Maderatcha;Crater, craters;AA;66.2;30.7;264.7;31.4;29.9;265.6;263.8;Planetographic  +East  0 - 360;;Saami sky god.;Europe;Lapp;Approved;1988;64;10/01/2006;
Callisto;MERA;CAAA6410N28480;Named formation;Crater;AA;MERA;Approuved by IAU in 1979;Semi-god;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Another nymph of Artemis seduced by Zeus.;284,80;284°48';64,10;64°5';39,50;39,50;Callisto;3847;Mera;Mera;Crater, craters;AA;39.5;64.1;284.8;64.5;63.6;285.9;283.7;Planetographic  +East  0 - 360;;"Greek; another nymph of Artemis seduced by Zeus.";Europe;Greek;Approved;1979;19;10/01/2006;
Callisto;MIMIR;CAAA3260N30680;Named formation;Crater;AA;MIMIR;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Giant.;306,80;306°48';32,60;32°36';47,70;47,70;Callisto;3907;Mimir;Mimir;Crater, craters;AA;47.7;32.6;306.8;33.1;32.1;307.5;306.2;Planetographic  +East  0 - 360;;Norse giant.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;MITSINA;CAAA5750N25630;Named formation;Crater;AA;MITSINA;Approuved by IAU in 1979;Hero;Alaska;Alaskan;Not appliable;Not appliable;Not appliable;Not appliable;Old man who perished while hunting on ice.;256,30;256°18';57,50;57°30';40,40;40,40;Callisto;3936;Mitsina;Mitsina;Crater, craters;AA;40.4;57.5;256.3;57.9;57,00;257.1;255.3;Planetographic  +East  0 - 360;;Alaskan old man who perished while hunting on ice.;North America;Eskimo;Approved;1979;26;10/01/2006;
Callisto;MODI;CAAA6640N24070;Named formation;Crater;AA;MODI;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Son of Thor and Sif.;240,70;240°41';66,40;66°24';37,80;37,80;Callisto;3940;Modi;Modi;Crater, craters;AA;37.8;66.4;240.7;66.8;65.9;241.5;239.2;Planetographic  +East  0 - 360;;"Norse; son of Thor and Sif.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;NAKKI;CAAA5640S29030;Named formation;Crater;AA;NAKKI;Approuved by IAU in 1997;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Water god.;290,30;290°18';-56,40;-56°23';59,80;59,80;Callisto;4118;Nakki;Nakki;Crater, craters;AA;59.8;-56.4;290.3;-55.6;-57,00;291.6;289.1;Planetographic  +East  0 - 360;;Finnish water god.;Europe;Finland;Approved;1997;1;10/01/2006;
