BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Vénus;SOLACE;VEAA3590N31720;Formation nommée;Cratère;AA;SOLACE;Approuvé par l'UAI en 2000;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom latin.;317.2;317 ° 48 ' ;35.9;35 ° 54 '  Nord;v18;5.3;5.3;Venus;5621;Solace;Solace;Crater, craters;AA;5.3;35.9;317.2;;;;;Planetographic  +East  0 - 360;v18;Latin first name.;Europe;Latin;Approved;2000;109;10.01.2006
Vénus;SOMAGALAGS CORONA;VECR930N34850;Formation nommée;Formation ovoïde;CR;SOMAGALAGS CORONA;Supprimé par l'UAI en 199;Non applicable;Canada;canadien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Mère de la Terre chez les Bella Coola. Nom modifié de Somagalags Montes.;348.5;348 ° 30 ' ;9.3;9 ° 18 '  Nord;v31;105;;Venus;6908;[Somagalags Corona];Somagalags Corona;Corona, coronae;CR;105;9.3;348.5;;;;;Planetographic  +East  0 - 360;v31;Bella Coola earth mother. Name changed to Somagalags Montes.;North America;Canada;Dropped;1994;83;03.01.2007
Vénus;SOMAGALAGS MONTES;VEMO930N34850;Formation nommée;Montagne;MO;SOMAGALAGS MONTES;Approuvé par l'UAI en 1997;Non applicable;Canada;canadien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Mère de la Terre chez les Bella Coola. Nom modifié de Somagalags Corona.;348.5;348 ° 30 ' ;9.3;9 ° 18 '  Nord;v31;105;;Venus;5642;Somagalags Montes;Somagalags Montes;Mons, montes;MO;105;9.3;348.5;;;;;Planetographic  +East  0 - 360;v31;Bella Coola earth mother. Name changed from Somagalags Corona.;North America;Canada;Approved;1997;83;10.01.2006
Vénus;SONMUNDE FLUCTUS;VEFL6000S12000;Formation nommée;Terrain avec écoulement;FL;SONMUNDE FLUCTUS;Approuvé par l'UAI en 1997;Non applicable;Corée;coréen(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse coréenne de la montagne.;120;120 ° 0 ' ;-60;60 ° 0 '  Sud;;400;;Venus;5646;Sonmunde Fluctus;Sonmunde Fluctus;Fluctus, fluctÅ«s;FL;400;-60;120;;;;;Planetographic  +East  0 - 360;;Korean mountain goddess.;Asia;Korea;Approved;1997;107;10.01.2006
Vénus;SOPDET TESSERAE;VETE4500S24300;Formation nommée;Terrain polygonal;TE;SOPDET TESSERAE;Approuvé par l'UAI en 1997;Non applicable;Egypte;égyptien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse égyptienne de l'étoile Sirius et de l'année à venir.;243;243 ° 0 ' ;-45;45 ° 0 '  Sud;v52;500;;Venus;5648;Sopdet Tesserae;Sopdet Tesserae;Tessera, tesserae;TE;500;-45;243;;;;;Planetographic  +East  0 - 360;v52;Egyptian goddess of Sirius star and the forthcoming year.;Africa;Egypt;Approved;1997;107;10.01.2006
Vénus;SOPHIA;VEAA2860S1880;Formation nommée;Cratère;AA;SOPHIA;Approuvé par l'UAI en 1994;Non applicable;Grèce;grec(que);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom grec.;18.8;18 ° 12 ' ;-28.6;28 ° 36 '  Sud;v44;17.6;17.6;Venus;5649;Sophia;Sophia;Crater, craters;AA;17.6;-28.6;18.8;;;;;Planetographic  +East  0 - 360;v44;First name from Greek.;Europe;Greek;Approved;1994;82;10.01.2006
Vénus;SOVADI;VEAA4480S22550;Formation nommée;Cratère;AA;SOVADI;Approuvé par l'UAI en 2000;Non applicable;Cambodge;cambodgien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom khmer.;225.5;225 ° 30 ' ;-44.8;44 ° 48 '  Sud;v51;12.4;12.4;Venus;5660;Sovadi;Sovadi;Crater, craters;AA;12.4;-44.8;225.5;;;;;Planetographic  +East  0 - 360;v51;Khmer (Cambodia) first name.;Asia;Cambodia;Approved;2000;107;10.01.2006
Vénus;SPANDARMAT MONS;VEMO1650S25500;Formation nommée;Montagne;MO;SPANDARMAT MONS;Approuvé par l'UAI en 2000;Non applicable;Iran;iranien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse mère iranienne.;255;255 ° 0 ' ;-16.5;16 ° 30 '  Sud;v40;400;;Venus;5664;Spandarmat Mons;Spandarmat Mons;Mons, montes;MO;400;-16.5;255;;;;;Planetographic  +East  0 - 360;v40;Iranian mother goddess.;Asia;Iran;Approved;2000;65;10.01.2006
Vénus;SPIDOLA DORSA;VEDO7350S32500;Formation nommée;Crête;DO;SPIDOLA DORSA;Approuvé par l'UAI en 1997;Non applicable;Lettonie;letton(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Sorcière lettone.;325;325 ° 0 ' ;-73.5;73 ° 30 '  Sud;v61;950;;Venus;5667;Spidola Dorsa;Spidola Dorsa;Dorsum, dorsa;DO;950;-73.5;325;;;;;Planetographic  +East  0 - 360;v61;Latvian witch.;Europe;Latvia;Approved;1997;107;10.01.2006
Vénus;STANTON;VEAA2330S19930;Formation nommée;Cratère;AA;Elizabeth C. STANTON;Approuvé par l'UAI en 1994;Suffragette;U.S.A.;américain(e );19;19 ème siècle;;1815;;1902;;199.3;199 ° 42 ' ;-23.3;23 ° 18 '  Sud;v38;107;107;Venus;5682;Stanton;Stanton;Crater, craters;AA;107;-23.3;199.3;;;;;Planetographic  +East  0 - 360;v38;Elizabeth C.. American suffragist (1815-1902).;North America;American;Approved;1994;99;10.01.2006
Vénus;STEFANIA;VEAA5130N33330;Formation nommée;Cratère;AA;STEFANIA;Approuvé par l'UAI en 1985;Non applicable;Roumanie;roumain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Prénom roumain.;333.3;333 ° 42 ' ;51.3;51 ° 18 '  Nord;v07;11.7;11.7;Venus;5688;Stefania;Stefania;Crater, craters;AA;11.7;51.3;333.3;;;;;Planetographic  +East  0 - 360;v07;Romanian first name.;Europe;Romania (Rumania);Approved;1985;98;10.01.2006
