BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;PUN;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercure;ASVAGHOSA;MEAA1062N33861;Formation nommée;Cratère;AA;ASVAGHOSA;Approuvé par l'UAI en 1976;Poète;Inde;hindou(e );1;1 ème siècle;???;80;???;150;???;338.61;21 ° 23 '  O;10.62;10 ° 23 ' N;H-06;88.24;88.24;53;53;Mercury;528;AÅ>vaghosa;Asvaghosa;Crater, craters;AA;88.24;10.62;338.61;11.65;9.58;339.66;337.55;MAA1062N33861;Planetographic  +East  0 - 360;H-06;Indian philosopher and poet (fl. A.D. 80-150).;Asia;India;Approved;1976;59;03.07.2011;
Mercure;ATGET;MEAA2557N16647;Formation nommée;Cratère;AA;Eugène ATGET;Approuvé par l'UAI en Apr 8, 2008;Photographe;France;français(e );20;20 ème siècle;???;1857;???;1927;???;166.47;166 ° 32 '  E;25.57;25 ° 26 ' N;H-04;100.33;100.33;60;60;Mercury;14394;Atget;Atget;Crater, craters;AA;100.33;25.57;166.47;26.74;24.39;167.77;165.16;MAA2557N16647;Planetographic  +East  0 - 360;H-04;EugÃ?ne. French photographer (1857-1927).;Europe;France;Approved;Apr 8, 2008;212;03.07.2011;
Mercure;AURORA;MEAL4500N27000;Formation nommée;Formation à albédo;AL;AURORA;Approuvé par l'UAI en 1976;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Nom de formation à albédo dans la région Victoria (H-2).;270;90 ° 0 '  O;45;45 ° 0 ' N;;??;??;??;??;Mercury;474;Aurora;Aurora;Albedo Feature;AL;0;45;270;;;;;MAL4500N27000;Planetographic  +East  0 - 360;;Albedo name for H-2, Victoria region.;Europe;Roman;Approved;1976;60;03.07.2011;
Mercure;AUSTRALIA;MEAL7250S00;Formation nommée;Formation à albédo;AL;AUSTRALIA;Approuvé par l'UAI en 1976;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Région à albédo indiquée sur la carte d'Antoniadi.;0;0 ° 0 '  E;-72.5;73 ° 30 ' S;;??;??;??;??;Mercury;489;Australia;Australia;Albedo Feature;AL;0;-72.5;0;;;;;MAL7250S0;Planetographic  +East  0 - 360;;Albedo name for H-15, Bach region.;Europe;Roman;Approved;1976;60;03.07.2011;
Mercure;BACH;MEAA6987S25701;Formation nommée;Cratère;AA;Johann Sebastian  BACH;Approuvé par l'UAI en 1976;Compositeur;Allemagne;allemand(e );17;17 ème siècle;???;1685;???;1750;???;257.01;102 ° 59 '  O;-69.87;70 ° 52 ' S;H-15;214.29;214.29;129;129;Mercury;537;Bach;Bach;Crater, craters;AA;214.29;-69.87;257.01;-67.35;-72.38;264.34;249.69;MAA6987S25701;Planetographic  +East  0 - 360;H-15;J. S.. German composer (1685-1750).;Europe;Germany;Approved;1976;59;03.07.2011;
Mercure;BALAGTAS;MEAA2260S34599;Formation nommée;Cratère;AA;F. BALAGTAS;Approuvé par l'UAI en 1976;Writer;Philippines;philippin(e );19;19 ème siècle;???;1788;???;1862;???;345.99;14 ° 1 '  O;-22.6;23 ° 36 ' S;H-11;98.82;98.82;59;59;Mercury;568;Balagtas;Balagtas;Crater, craters;AA;98.82;-22.6;345.99;-21.44;-23.76;347.25;344.73;MAA2260S34599;Planetographic  +East  0 - 360;H-11;F.. Philippino writer (1788-1862).;Asia;Philippines;Approved;1976;80;03.07.2011;
Mercure;BALANCHINE;MEAA3853N17572;Formation nommée;Cratère;AA;George (Giorgi Balanchivadze) BALANCHINE;Approuvé par l'UAI en Apr 24, 2012;;U. S. A.;Américain(ne);20;20 ème siècle;???;1904;???;1983;???;175.72;175 ° 17 '  E;38.53;38 ° 28 ' N;H-04;40.9;40.9;24;24;Mercury;14955;Balanchine;Balanchine;Crater, craters;AA;40.9;38.53;175.72;38.91;38.14;176.34;175.11;MAA3853N17572;Planetographic  +East  0 - 360;H-04;George (Giorgi Balanchivadze). American choreographer of Georgian-Russian origin (1904-1983).;North America;United States;Approved;Apr 24, 2012;139;4/24/12;
Mercure;BALZAC;MEAA1058N21541;Formation nommée;Cratère;AA;Honore de BALZAC;Approuvé par l'UAI en 1976;Romancier;France;français(e );19;19 ème siècle;???;1799;???;1850;???;215.41;144 ° 35 '  O;10.58;10 ° 25 ' N;H-08;67.04;67.04;40;40;Mercury;587;Balzac;Balzac;Crater, craters;AA;67.04;10.58;215.41;11.37;9.79;216.21;214.61;MAA1058N21541;Planetographic  +East  0 - 360;H-08;Honore de. French novelist (1799-1850).;Europe;France;Approved;1976;59;03.07.2011;
Mercure;BARMA;MEAA4099S19661;Formation nommée;Cratère;AA;Yakovlev BARMA;Approuvé par l'UAI en 1982;Architecte;Russie;russe;16;16 ème siècle;???;??;???;??;???;196.61;163 ° 23 '  O;-40.99;41 ° 59 ' S;H-12;122.71;122.71;74;74;Mercury;607;Barma;Barma;Crater, craters;AA;122.71;-40.99;196.61;-39.55;-42.43;198.52;194.7;MAA4099S19661;Planetographic  +East  0 - 360;H-12;Yakovlev. 16th Century Russian architect.;Europe;Russia;Approved;1982;80;03.07.2011;
Mercure;BARTOK;MEAA2928S22502;Formation nommée;Cratère;AA;Bela BARTOK;Approuvé par l'UAI en 1979;Compositeur;Hongrie;hongrois(e );20;20 ème siècle;???;1881;???;1945;???;225.02;134 ° 59 '  O;-29.28;30 ° 17 ' S;H-12;116.65;116.65;70;70;Mercury;624;BartÃ³k;Bartok;Crater, craters;AA;116.65;-29.28;225.02;-27.91;-30.65;226.6;223.45;MAA2928S22502;Planetographic  +East  0 - 360;H-12;Bela. Hungarian composer (1881-1945).;Europe;Hungary;Approved;1979;59;03.07.2011;
Mercure;BASHO;MEAA3243S18956;Formation nommée;Cratère;AA;Matsuo BASHO;Approuvé par l'UAI en 1979;Poète;Japon;japonais(e );17;17 ème siècle;???;1644;???;1694;???;189.56;170 ° 26 '  O;-32.43;33 ° 26 ' S;H-12;74.62;74.62;45;45;Mercury;628;BashÅ;Basho;Crater, craters;AA;74.62;-32.43;189.56;-31.55;-33.3;190.6;188.52;MAA3243S18956;Planetographic  +East  0 - 360;H-12;Matsuo. Japanese poet (1644-1694).;Asia;Japan;Approved;1979;80;03.07.2011;
