BODY;NAME;TYPECODE;LONGIN;LATIN;LENGTHKM;Feature_ID;Feature_Name;Clean_Feature_Name;Target;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;Approval_Status;Approval_Date;Reference;Origin;Additional_Info;Last_Updated
Venus;Seoritsu Farra;FR;11;-30;230;5432;Seoritsu Farra;Seoritsu Farra;Venus;230;-30;11;-30;-30;11;11;Planetocentric  +East  0 - 360;Asia;Japan;Farrum, farra;FR;v44;Approved;1994;83;Japanese stream goddess.;;10/1/06
Venus;Sephira Mons;MO;28;-43;275;5433;Sephira Mons;Sephira Mons;Venus;275;-43;28;-42;-44;30;26;Planetocentric  +East  0 - 360;Europe;Spain;Mons, montes;MO;v44;Approved;2003;127;Spanish goddess of intelligence and creativity.;;10/1/06
Venus;Serova Patera;PE;247;20;60;5437;Serova Patera;Serova Patera;Venus;60;20;247;20;20;247;247;Planetocentric  +East  0 - 360;Europe;Soviet;Patera, paterae;PE;v28;Approved;1997;107;Valentina (Polovikova). Soviet actress (1918-1975).;;12/30/08
Venus;Seseg;AA;312.6;-36.3;9.8;5438;Seseg;Seseg;Venus;9.8;-36.3;312.6;-36.3;-36.3;312.6;312.6;Planetocentric  +East  0 - 360;Asia;Buriat;Crater, craters;AA;v54;Approved;1997;107;Buryat (Siberia) first name.;;12/30/08
Venus;Seshat Mons;MO;33.2;26.3;62;6904;[Seshat Mons];Seshat Mons;Venus;62;26.3;33.2;26.2;26.2;33.6;32.8;Planetocentric  +East  0 - 360;Africa;Egypt;Mons, montes;MO;v09;Dropped;1991;1;Egyptian goddess of writing.;;3/1/07
Venus;Sevigne;AA;326.5;52.6;29.6;5800;Sévigné;Sevigne;Venus;29.6;52.6;326.5;52.6;52.6;326.5;326.5;Planetocentric  +East  0 - 360;Europe;France;Crater, craters;AA;v07;Approved;1985;46;Marie. French writer (1626-1696).;;11/17/08
Venus;Seymour;AA;326.5;18.2;63;5447;Seymour;Seymour;Venus;63;18.2;326.5;18.2;18.2;326.5;326.5;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v30;Approved;1994;99;Jane. English queen (c. 1509-1537).;;10/1/06
Venus;Sezibwa Vallis;VA;37;-44;300;5448;Sezibwa Vallis;Sezibwa Vallis;Venus;300;-44;37;-44;-44;37;37;Planetocentric  +East  0 - 360;Africa;Uganda;Vallis, valles;VA;v45;Approved;1997;107;Ganda river spirit.;;10/1/06
Venus;Shait Tessera;TE;173.5;-54;220;5454;Shait Tessera;Shait Tessera;Venus;220;-54;173.5;-54;-54;173.5;173.5;Planetocentric  +East  0 - 360;Africa;Egypt;Tessera, tesserae;TE;v58;Approved;1997;107;Egyptian human destiny goddess.;;10/1/06
Venus;Shakira;AA;213.6;3;17.6;5457;Shakira;Shakira;Venus;17.6;3;213.6;3;3;213.6;213.6;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v27;Approved;1994;108;Bashkir first name.;;3/26/14
