BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Venus;YUMYN UDYR DORSA;VEDO8140N16470;Named formation;Ridge;DO;YUMYN UDYR DORSA;Approved by IAU in 1985;Not appliable;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Marian (Volga Finn) daughter of main god.;164.7;164 ° 18 ' ;81.4;81 ° 24 '  North;v01;1086;;Venus;6679;Yumyn-Udyr Dorsa;Yumyn Udyr Dorsa;Dorsum, dorsa;DO;1086;81.4;164.7;84.3;77.5;180.8;124;Planetographic  +East  0 - 360;v01;Marian (Volga Finn) daughter of main god.;Europe;Finland;Approved;1985;65;10.01.2006
Venus;YUNYA MANA MONS;VEMO1800S28500;Named formation;Mountain;MO;YUNYA MANA MONS;Approved by IAU in 1997;Not appliable;Hopi people;Hopi;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Hopi prickly pear cactus maiden.;285;285 ° 0 ' ;-18;18 ° 0 '  South;v41;500;;Venus;6682;Yunya-mana Mons;Yunya mana Mons;Mons, montes;MO;500;-18;285;;;;;Planetographic  +East  0 - 360;v41;Hopi prickly pear cactus maiden.;North America;Hopi;Approved;1997;107;10.01.2006
Venus;YURT AVA THOLUS;VETH1380S34150;Named formation;Small domical mountain;TH;YURT AVA THOLUS;Approved by IAU in 2000;Not appliable;Mordvinia;Mordvinian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Mordovian (Volga Finn) "home's mother" deity.;341.5;341 ° 30 ' ;-13.8;13 ° 48 '  South;v43;15;;Venus;6683;Yurt-Ava Tholus;Yurt Ava Tholus;Tholus, tholi;TH;15;-13.8;341.5;;;;;Planetographic  +East  0 - 360;v43;Mordovian (Volga Finn) "home's mother" deity.;Europe;Mordvinian;Approved;2000;65;12/30/08
Venus;YUVKHA VALLES;VEVA1050N23950;Named formation;Valley;VA;YUVKHA VALLES;Approved by IAU in 1997;Not appliable;Turkmenistan;turkmen;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Turkman river spirit.;239.5;239 ° 30 ' ;10.5;10 ° 30 '  North;v27;200;;Venus;6686;Yuvkha Valles;Yuvkha Valles;Vallis, valles;VA;200;10.5;239.5;;;;;Planetographic  +East  0 - 360;v27;Turkman river spirit.;Asia;Turkmenistan;Approved;1997;107;12/30/08
Venus;YUZUT ARKH FOSSAE;VEFO4800N22400;Named formation;Long and narrow depression;FO;YUZUT ARKH FOSSAE;Approved by IAU in 1997;Not appliable;Siberia;Siberian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Khakas (S. Siberia) evil deity.;224;224 ° 0 ' ;48;48 ° 0 '  North;v15;550;;Venus;6687;Yuzut-Arkh Fossae;Yuzut Arkh Fossae;Fossa, fossae;FO;550;48;224;;;;;Planetographic  +East  0 - 360;v15;Khakas (S. Siberia) evil deity.;Asia;Siberia;Approved;1997;107;12/30/08
Venus;YVETTE;VEAA750N24960;Named formation;Crater;AA;YVETTE;Approved by IAU in 1997;Not appliable;France;French;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;French first name.;249.6;249 ° 24 ' ;7.5;7 ° 30 '  North;v28;10.6;10.6;Venus;6688;Yvette;Yvette;Crater, craters;AA;10.6;7.5;249.6;;;;;Planetographic  +East  0 - 360;v28;French first name.;Europe;France;Approved;1997;107;10.01.2006
Venus;YVONNE;VEAA5600S29840;Named formation;Crater;AA;YVONNE;Approved by IAU in 1994;Not appliable;France;French;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;French first name.;298.4;298 ° 36 ' ;-56;56 ° 0 '  South;v60;14.5;14.5;Venus;6689;Yvonne;Yvonne;Crater, craters;AA;14.5;-56;298.4;;;;;Planetographic  +East  0 - 360;v60;French first name.;Europe;France;Approved;1994;109;10.01.2006
Venus;ZAKIYA;VEAA6650S23410;Named formation;Crater;AA;ZAKIYA;Approved by IAU in 1997;Not appliable;Arabia;Arabian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Arabic first name.;234.1;234 ° 54 ' ;-66.5;66 ° 30 '  South;v59;7.5;7.5;Venus;6693;Zakiya;Zakiya;Crater, craters;AA;7.5;-66.5;234.1;;;;;Planetographic  +East  0 - 360;v59;Arabic first name.;Asia;Arabian;Approved;1997;107;10.01.2006
Venus;ZALTU MONS;VEMO1800N16350;Named formation;Mountain;MO;ZALTU MONS;Approved by IAU in 2003;Not appliable;Assyria;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian goddess.;163.5;163 ° 30 ' ;18;18 ° 0 '  North;v25;220;;Venus;6696;Zaltu Mons;Zaltu Mons;Mons, montes;MO;220;18;163.5;18.5;17;164.5;162.5;Planetographic  +East  0 - 360;v25;Assyro-Babylonian goddess.;Asia;Assyro-Babylonian;Approved;2003;127;10.01.2006
Venus;ZAMIN CORONA;VECR3150N25830;Named formation;Ovoid shaped feature;CR;ZAMIN CORONA;Approved by IAU in 1997;Not appliable;Persia;Persian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Persian earth goddess.;258.3;258 ° 42 ' ;31.5;31 ° 30 '  North;v16;315;;Venus;6698;Zamin Corona;Zamin Corona;Corona, coronae;CR;315;31.5;258.3;;;;;Planetographic  +East  0 - 360;v16;Persian earth goddess.;Asia;Persian;Approved;1997;83;10.01.2006
