BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercury;Antoniadi Dorsum;MEDO2720N33035W;Named formation;Wrinkle ridge;DO;Eugene M. ANTONIADI;IAU approuved 1976;Astronomer;Italy;from Italy;20;20 th century;???;1870;???;1944;???;330.35;29 ° 39 '  W;27.2;27 ° 48 ' N;H-02;359.4;??;217;??;Mercury;298;Antoniadi Dorsum;Antoniadi Dorsum;Dorsum, dorsa;DO;359.4;27.2;330.35;30.97;23.24;330.38;328.5;Planetographic  +East  0 - 360;H-02;Eugene M.. Greco-French astronomer, defined classical nomenclature for albedo features of Mars (1870-1944).;Europe;Italy;Approved;1976;80;07/03/2011;
Mercury;Apollodorus;MEAA3051N16335E;Named formation;Crater;AA;APOLLODORUS of Damascus;IAU approuved Apr 8, 2008;Architect;Greece;from Greece;2;2 th century;???;???;???;???;;163.35;163 ° 39 '  E;30.51;30 ° 29 ' N;H-04;41.51;41.51;25;25;Mercury;14397;Apollodorus;Apollodorus;Crater, craters;AA;41.51;30.51;163.35;30.99;30.02;163.92;162.79;Planetographic  +East  0 - 360;H-04;Apollodorus of Damascus. Greek architect (2nd century AD).;Europe;Greek;Approved;Apr 8, 2008;75;07/03/2011;Some sources credit Apollodorus as being the architect of the Pantheon.
Mercury;Apollonia;MEAL4500N4500E;Named formation;Albedo Feature;AL;APOLLONIA;IAU approuved 1976;Not appliable;Roma;from Roma;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Albedo name for unimaged H-5 region.;45;45 ° 0 '  E;45;45 ° 0 ' N;H-05;??;??;??;??;Mercury;327;Apollonia;Apollonia;Albedo Feature;AL;0;45;45;;;;;Planetographic  +East  0 - 360;H-05;Albedo name for unimaged H-5 region.;Europe;Roman;Approved;1976;60;07/03/2011;
Mercury;Arecibo Vallis;MEVA2779S33184W;Named formation;Valley;VA;ARECIBO VALLIS;IAU approuved 1976;Radio telescope;Puerto Rico;from Puerto Rico;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Radio telescope in Puerto Rico.;331.84;28 ° 10 '  W;-27.79;28 ° 47 ' S;H-11;134.19;??;81;??;Mercury;355;Arecibo Vallis;Arecibo Vallis;Vallis, valles;VA;134.19;-27.79;331.84;-26.73;-28.73;333.17;330.45;Planetographic  +East  0 - 360;H-11;Radio telescope in Puerto Rico.;South and Central America;Puerto Rico;Approved;1976;59;3/13/12;
Mercury;Aristoxenus;MEAA8444N34005W;Named formation;Crater;AA;ARISTOXENUS;IAU approuved 1979;Musician;Greece;from Greece;-5;5 th century B.C.;???;???;???;???;???;340.05;19 ° 57 '  W;84.44;84 ° 34 ' N;H-01;52.14;52.14;31;31;Mercury;383;Aristoxenus;Aristoxenus;Crater, craters;AA;52.14;84.44;340.05;85.05;83.82;346.38;333.72;Planetographic  +East  0 - 360;H-01;Greek philosopher and musical theorist (fl. 4th century B.C.).;Europe;Greek;Approved;1979;59;07/03/2011;
Mercury;Astrolabe Rupes;MERU4252S28921W;Named formation;Scarp;RU;ASTROLABE RUPES;IAU approuved 1976;Ship;France;from France;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Dumont d'Urville's ship to explore Antarctica, 1838-40.;289.21;70 ° 47 '  W;-42.52;43 ° 31 ' S;H-11;251;??;151;??;Mercury;442;Astrolabe Rupes;Astrolabe Rupes;Rupes, rupÄ“s;RU;251;-42.52;289.21;-39.74;-45.43;290.27;288.76;Planetographic  +East  0 - 360;H-11;French. d'Urville's ship to explore Antarctica, 1838-40.;Europe;France;Approved;1976;80;07/03/2011;
Mercury;Asvaghosa;MEAA1062N33861W;Named formation;Crater;AA;ASVAGHOSA;IAU approuved 1976;Poet;India;from India;0;0 th century;???;80;150;;???;338.61;21 ° 23 '  W;10.62;10 ° 23 ' N;H-06;88.24;88.24;53;53;Mercury;528;AÅ›vaghosa;Asvaghosa;Crater, craters;AA;88.24;10.62;338.61;11.65;9.58;339.66;337.55;Planetographic  +East  0 - 360;H-06;Indian philosopher and poet (fl. A.D. 80-150).;Asia;India;Approved;1976;59;07/03/2011;
Mercury;Atget;MEAA2557N16647E;Named formation;Crater;AA;Eugène ATGET;IAU approuved Apr 8, 2008;Photographer;France;from France;20;20 th century;???;1857;???;1927;???;166.47;166 ° 32 '  E;25.57;25 ° 26 ' N;H-04;100.33;100.33;60;60;Mercury;14394;Atget;Atget;Crater, craters;AA;100.33;25.57;166.47;26.74;24.39;167.77;165.16;Planetographic  +East  0 - 360;H-04;EugÃ¨ne. French photographer (1857-1927).;Europe;France;Approved;Apr 8, 2008;212;07/03/2011;
Mercury;Aurora;MEAL4500N27000W;Named formation;Albedo Feature;AL;AURORA;IAU approuved 1976;Not appliable;Roma;from Roma;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Albedo name for H-2, Victoria region.;270;90 ° 0 '  W;45;45 ° 0 ' N;;??;??;??;??;Mercury;474;Aurora;Aurora;Albedo Feature;AL;0;45;270;;;;;Planetographic  +East  0 - 360;;Albedo name for H-2, Victoria region.;Europe;Roman;Approved;1976;60;07/03/2011;
Mercury;Australia;MEAL7250S0E;Named formation;Albedo Feature;AL;AUSTRALIA;IAU approuved 1976;Not appliable;Roma;from Roma;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Albedo feature. Antoniadi map.;0;0 ° 0 '  E;-72.5;73 ° 30 ' S;;??;??;??;??;Mercury;489;Australia;Australia;Albedo Feature;AL;0;-72.5;0;;;;;Planetographic  +East  0 - 360;;Albedo name for H-15, Bach region.;Europe;Roman;Approved;1976;60;07/03/2011;
Mercury;Bach;MEAA6987S25701W;Named formation;Crater;AA;Johann Sebastian  BACH;IAU approuved 1976;Composer;Germany;from Germany;17;17 th century;???;1685;???;1750;???;257.01;102 ° 59 '  W;-69.87;70 ° 52 ' S;H-15;214.29;214.29;129;129;Mercury;537;Bach;Bach;Crater, craters;AA;214.29;-69.87;257.01;-67.35;-72.38;264.34;249.69;Planetographic  +East  0 - 360;H-15;J. S.. German composer (1685-1750).;Europe;Germany;Approved;1976;59;07/03/2011;
Mercury;Balagtas;MEAA2260S34599W;Named formation;Crater;AA;F. BALAGTAS;IAU approuved 1976;Writer;Philippines;from Philippines;19;19 th century;???;1788;???;1862;???;345.99;14 ° 1 '  W;-22.6;23 ° 36 ' S;H-11;98.82;98.82;59;59;Mercury;568;Balagtas;Balagtas;Crater, craters;AA;98.82;-22.6;345.99;-21.44;-23.76;347.25;344.73;Planetographic  +East  0 - 360;H-11;F.. Philippino writer (1788-1862).;Asia;Philippines;Approved;1976;80;07/03/2011;
Mercury;Balanchine;MEAA3853N17572E;Named formation;Crater;AA;George (Giorgi Balanchivadze) BALANCHINE;IAU approuved Apr 24, 2012;;United States;from United States;20;20 th century;???;1904;???;1983;???;175.72;175 ° 17 '  E;38.53;38 ° 28 ' N;H-04;40.9;40.9;24;24;Mercury;14955;Balanchine;Balanchine;Crater, craters;AA;40.9;38.53;175.72;38.91;38.14;176.34;175.11;Planetographic  +East  0 - 360;H-04;George (Giorgi Balanchivadze). American choreographer of Georgian-Russian origin (1904-1983).;North America;United States;Approved;Apr 24, 2012;139;4/24/12;
Mercury;Balzac;MEAA1058N21541W;Named formation;Crater;AA;Honore de BALZAC;IAU approuved 1976;Novelist;France;from France;19;19 th century;???;1799;???;1850;???;215.41;144 ° 35 '  W;10.58;10 ° 25 ' N;H-08;67.04;67.04;40;40;Mercury;587;Balzac;Balzac;Crater, craters;AA;67.04;10.58;215.41;11.37;9.79;216.21;214.61;Planetographic  +East  0 - 360;H-08;Honore de. French novelist (1799-1850).;Europe;France;Approved;1976;59;07/03/2011;
Mercury;Barma;MEAA4099S19661W;Named formation;Crater;AA;Yakovlev BARMA;IAU approuved 1982;Architect;Russia;from Russia;16;16 th century;???;??;???;??;???;196.61;163 ° 23 '  W;-40.99;41 ° 59 ' S;H-12;122.71;122.71;74;74;Mercury;607;Barma;Barma;Crater, craters;AA;122.71;-40.99;196.61;-39.55;-42.43;198.52;194.7;Planetographic  +East  0 - 360;H-12;Yakovlev. 16th Century Russian architect.;Europe;Russia;Approved;1982;80;07/03/2011;
Mercury;Bartok;MEAA2928S22502W;Named formation;Crater;AA;Bela BARTOK;IAU approuved 1979;Composer;Hungary;from Hungary;20;20 th century;???;1881;???;1945;???;225.02;134 ° 59 '  W;-29.28;30 ° 17 ' S;H-12;116.65;116.65;70;70;Mercury;624;BartÃ³k;Bartok;Crater, craters;AA;116.65;-29.28;225.02;-27.91;-30.65;226.6;223.45;Planetographic  +East  0 - 360;H-12;Bela. Hungarian composer (1881-1945).;Europe;Hungary;Approved;1979;59;07/03/2011;
Mercury;Basho;MEAA3243S18956W;Named formation;Crater;AA;Matsuo BASHO;IAU approuved 1979;Poet;Japan;from Japan;17;17 th century;???;1644;???;1694;???;189.56;170 ° 26 '  W;-32.43;33 ° 26 ' S;H-12;74.62;74.62;45;45;Mercury;628;BashÅ;Basho;Crater, craters;AA;74.62;-32.43;189.56;-31.55;-33.3;190.6;188.52;Planetographic  +East  0 - 360;H-12;Matsuo. Japanese poet (1644-1694).;Asia;Japan;Approved;1979;80;07/03/2011;
Mercury;Beagle Rupes;MERU343S10072E;Named formation;Scarp;RU;BEAGLE RUPES;IAU approuved Apr 8, 2008;Ship;Great Britain;from Great Britain;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Naval vessel aboard which Charles Darwin served as a naturalist on a surveying expedition, 1831-1836.;100.72;100 ° 17 '  E;-3.43;4 ° 26 ' S;H-09;630.89;??;381;??;Mercury;14390;Beagle Rupes;Beagle Rupes;Rupes, rupÄ“s;RU;630.89;-3.43;100.72;2.24;-7.51;106.41;100.66;Planetographic  +East  0 - 360;H-09;British. naval vessel aboard which Charles Darwin served as a naturalist on a surveying expedition, 1831-1836.;Europe;Great Britain;Approved;Apr 8, 2008;59;07/03/2011;
Mercury;Beckett;MEAA4016S11133E;Named formation;Crater;AA;Clarice BECKETT;IAU approuved Nov 20, 2008;Painter;Australia;from Australia;20;20 th century;???;1887;???;1935;???;111.33;111 ° 40 '  E;-40.16;41 ° 10 ' S;H-13;60.24;60.24;36;36;Mercury;14511;Beckett;Beckett;Crater, craters;AA;60.24;-40.16;111.33;-39.45;-40.87;112.26;110.41;Planetographic  +East  0 - 360;H-13;Clarice. Australian painter (1887-1935).;Oceania;Australia;Approved;Nov 20, 2008;210;07/03/2011;
Mercury;Beethoven;MEAA2092S23634W;Named formation;Crater;AA;Ludwig van BEETHOVEN;IAU approuved 1976;Composer;Germany;from Germany;19;19 th century;???;1770;???;1827;???;236.34;123 ° 40 '  W;-20.92;21 ° 55 ' S;H-07;630.38;630.38;381;381;Mercury;660;Beethoven;Beethoven;Crater, craters;AA;630.38;-20.92;236.34;-13.5;-28.33;244.25;228.41;Planetographic  +East  0 - 360;H-07;Ludwig van. German composer of Flemish descent (1770-1827).;Europe;Germany;Approved;1976;59;07/03/2011;
Mercury;Bek;MEAA2118N30908W;Named formation;Crater;AA;BEK;IAU approuved Mar 3, 2010;Sculptor;Egypt;from Egypt;-14;14 th century B.C.;???;1340;???;B.C.;???;309.08;50 ° 55 '  W;21.18;21 ° 49 ' N;H-06;32.19;32.19;19;19;Mercury;14641;Bek;Bek;Crater, craters;AA;32.19;21.18;309.08;21.55;20.8;309.49;308.68;Planetographic  +East  0 - 360;H-06;Egyptian sculptor (active c. 1340 B.C.).;Africa;Egypt;Approved;Mar 3, 2010;211;07/03/2011;
Mercury;Belinskij;MEAA7709S25615W;Named formation;Crater;AA;Vissarion Grigoryevich BELINSKIJ;IAU approuved 1985;Journalist;Russia;from Russia;19;19 th century;???;1811;???;1848;???;256.15;103 ° 51 '  W;-77.09;78 ° 5 ' S;H-15;70.67;70.67;42;42;Mercury;670;Belinskij;Belinskij;Crater, craters;AA;70.67;-77.09;256.15;-76.26;-77.92;259.87;252.43;Planetographic  +East  0 - 360;H-15;Vissarion Grigoryevich. Russian literary critic and journalist (1811-1848).;Europe;Russia;Approved;1985;59;07/03/2011;
Mercury;Bello;MEAA1889S23992W;Named formation;Crater;AA;Andres BELLO;IAU approuved 1976;Poet;Venezuela;from Venezuela;19;19 th century;???;1781;???;1865;???;239.92;120 ° 5 '  W;-18.89;19 ° 53 ' S;H-07;139.13;139.13;84;84;Mercury;675;Bello;Bello;Crater, craters;AA;139.13;-18.89;239.92;-17.26;-20.53;241.65;238.2;Planetographic  +East  0 - 360;H-07;Andres. Venezuelan poet and scholar (1781-1865).;South and Central America;Venezuela;Approved;1976;80;07/03/2011;
