BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;NINKI;GAAA820S23950;Named formation;Crater;AA;NINKI;Approuved by IAU in 1985;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Consort to Ea, Babylonian god of water.;239,50;239°30';-8,20;8°12' South;194.2;194.2;Ganymede;4296;Ninki;Ninki;Crater, craters;AA;194.2;-8.2;239.5;-6.2;-10.4;241.3;237.3;Planetographic  +East  0 - 360;;Consort to Ea, Babylonian god of water.;Asia;Assyro-Babylonian;Approved;1985;1;10/01/2006;
Ganymede;NINLIL;GAAA620N24170;Named formation;Crater;AA;NINLIL;Approuved by IAU in 1985;Goddess;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Chief Assyrian goddess / Asshur's consort.;241,70;241°42';6,20;6°12' North;90.8;90.8;Ganymede;4297;Ninlil;Ninlil;Crater, craters;AA;90.8;6.2;241.7;7.3;5.3;242.7;240.7;Planetographic  +East  0 - 360;;"Chief Assyrian goddess; Asshur's consort.";Asia;Assyro-Babylonian;Approved;1985;1;10/01/2006;
Ganymede;NINSUM;GAAA1450S21940;Named formation;Crater;AA;NINSUM;Approuved by IAU in 1985;Goddess;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Minor Babylonian goddess of wisdom / Gilgamesh's mother.;219,40;219°24';-14,50;14°30' South;88.2;88.2;Ganymede;4299;Ninsum;Ninsum;Crater, craters;AA;88.2;-14.5;219.4;-13.5;-15.3;220.4;218.5;Planetographic  +East  0 - 360;;"Minor Babylonian goddess of wisdom; Gilgamesh's mother.";Asia;Assyro-Babylonian;Approved;1985;1;10/01/2006;
Ganymede;NIPPUR SULCUS;GASU3690N17500;Named formation;Subparallel furrows and ridges;SU;NIPPUR SULCUS;Approuved by IAU in 1985;Non appliable;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian city.;175,00;175°0';36,90;36°54' North;1 425,00;???;Ganymede;4306;Nippur Sulcus;Nippur Sulcus;Sulcus, sulci;SU;1 425,00;36.9;175,00;45.8;23.4;186.8;162,00;Planetographic  +East  0 - 360;;Sumerian city.;Asia;Sumerian;Approved;1985;27;10/01/2006;
Ganymede;NUN SULCI;GASU4950N4360;Named formation;Subparallel furrows and ridges;SU;NUN SULCI;Approuved by IAU in 1979;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian / chaos / primordial ocean / held germ of all things.;43,60;43°36';49,50;49°30' North;1 500,00;???;Ganymede;4356;Nun Sulci;Nun Sulci;Sulcus, sulci;SU;1 500,00;49.5;43.6;62.7;30.5;57.5;20,00;Planetographic  +East  0 - 360;;"Egyptian; chaos; primordial ocean; held germ of all things.";Africa;Egypt;Approved;1979;1;10/01/2006;
Ganymede;NUT;GAAA5430S9070;Named formation;Crater;AA;NUT;Approuved by IAU in 1979;Goddess;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian goddess of the sky.;90,70;90°42';-54,30;54°18' South;93,00;93,00;Ganymede;4364;Nut;Nut;Crater, craters;AA;93,00;-54.3;90.7;-53.3;-55.2;92.5;89.1;Planetographic  +East  0 - 360;;Egyptian goddess of the sky.;Africa;Egypt;Approved;1979;1;10/01/2006;
Ganymede;OMBOS FACULA;GAFA480N12400;Named formation;Bright spot;FA;OMBOS FACULA;Approuved by IAU in 1985;Non appliable;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian town where Sebek's triad worshipped / present Kom Ombo.;124,00;124°0';4,80;4°48' North;170,00;???;Ganymede;4457;Ombos Facula;Ombos Facula;Facula, faculae;FA;170,00;4.8;124,00;6.6;2.9;125.7;122,00;Planetographic  +East  0 - 360;;"Egyptian town where Sebek's triad worshipped; present Kom Ombo.";Africa;Egypt;Approved;1985;27;10/01/2006;
Ganymede;OSIRIS;GAAA3810S19360;Named formation;Crater;AA;OSIRIS;Approuved by IAU in 1979;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian god of the dead.;193,60;193°36';-38,10;38°6' South;107.7;107.7;Ganymede;4509;Osiris;Osiris;Crater, craters;AA;107.7;-38.1;193.6;-36.9;-39.2;195.1;192.2;Planetographic  +East  0 - 360;;Egyptian god of the dead.;Africa;Egypt;Approved;1979;1;10/01/2006;
Ganymede;PERRINE REGIO;GARE3320N32750;Named formation;Broad geographic region;RE;PERRINE REGIO;Approuved by IAU in 1979;Astronomer;USA;American;20;20th century;1867;1951;Charles D. / American astronomer (1867-1951).;327,50;327°30';33,20;33°12' North;3 800,00;???;Ganymede;4662;Perrine Regio;Perrine Regio;Regio, regiones;RE;3 800,00;33.2;327.5;51,00;11,00;285.3;14.6;Planetographic  +East  0 - 360;;"Charles D.; American astronomer (1867-1951).";North America;American;Approved;1979;68;10/01/2006;
Ganymede;PHILAE SULCUS;GASU6550N19100;Named formation;Subparallel furrows and ridges;SU;PHILAE SULCUS;Approuved by IAU in 1997;Non appliable;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Temple that was the chief sanctuary of Isis.;191,00;191°0';65,50;65°30' North;900,00;???;Ganymede;4688;Philae Sulcus;Philae Sulcus;Sulcus, sulci;SU;900,00;65.5;191,00;74.6;55.6;201,00;187,00;Planetographic  +East  0 - 360;;Temple that was the chief sanctuary of Isis.;Asia;Assyro-Babylonian;Approved;1997;1;10/01/2006;
