BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Io;RA PATERA;IOPE859S3518;Formation nommée;Cratère complexe / Caldera;PE;RA PATERA;Approuvé par l'UAI en 1979;Dieu;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du Soleil égyptien;35.18;35°10';-8.59;-8°35';41.19;???;Io;4907;Ra Patera;Ra Patera;Patera, paterae;PE;41.19;-8.59;35.18;-7.94;-9.23;35.63;34.73;Planetographic  +East  0 - 360;;Egyptian sun god.;Africa;Egypt;Approved;1979;1;10.01.2006;
Io;RAROG PATERA;IOPE4163S5570;Formation nommée;Cratère complexe / Caldera;PE;RAROG PATERA;Approuvé par l'UAI en 2006;Divinité;Tchécoslovaquie;tchécoslovaque;Non applicable;Non applicable;Non applicable;Non applicable;Divinité tchèque du feu;55.7;55°42';-41.63;-41°38';102.94;???;Io;4950;Rarog Patera;Rarog Patera;Patera, paterae;PE;102.94;-41.63;55.7;-40.44;-42.84;57.68;53.37;Planetographic  +East  0 - 360;;Czech fire deity.;Europe;Czechoslovakia;Approved;2006;65;10.01.2006;
Io;RATA MONS;IOMO3640S15874;Formation nommée;Montagnes;MO;RATA MONS;Approuvé par l'UAI en 1997;Héros;Nouvelle Zélande;néo zélandais;Non applicable;Non applicable;Non applicable;Non applicable;Héros maori du Soleil;158.74;158°44';-36.4;-36°24';167.87;???;Io;4953;Rata Mons;Rata Mons;Mons, montes;MO;167.87;-36.4;158.74;-34.1;-39.06;160.81;156.43;Planetographic  +East  0 - 360;;MÄori sun hero.;Oceania;New Zealand;Approved;1997;83;12.01.2010;
Io;RATA PATERA;IOPE3560S16031;Formation nommée;Cratère complexe / Caldera;PE;RATA PATERA;Approuvé par l'UAI en 1997;Héros;Nouvelle Zélande;néo zélandais;Non applicable;Non applicable;Non applicable;Non applicable;Héros maori du Soleil;160.31;160°18';-35.6;-35°36';47.33;???;Io;4954;Rata Patera;Rata Patera;Patera, paterae;PE;47.33;-35.6;160.31;-34.97;-36.22;160.97;159.69;Planetographic  +East  0 - 360;;MÄori sun hero.;Oceania;New Zealand;Approved;1997;83;12.01.2010;
Io;REIDEN PATERA;IOPE1330S12453;Formation nommée;Cratère complexe / Caldera;PE;REIDEN PATERA;Approuvé par l'UAI en 1979;Dieu;Japon;japonais;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du tonnerre japonais;124.53;124°31';-13.3;-13°18';77.67;???;Io;4982;Reiden Patera;Reiden Patera;Patera, paterae;PE;77.67;-13.3;124.53;-12.39;-14.22;125.68;123.38;Planetographic  +East  0 - 360;;Japanese thunder god.;Asia;Japan;Approved;1979;24;04.09.2009;
Io;RESHEF PATERA;IOPE2770N20195;Formation nommée;Cratère complexe / Caldera;PE;RESHEF PATERA;Approuvé par l'UAI en 2006;Dieu;Phénicie;phénicien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu phénicien des éclairs, du stonnerre et du Soleil;201.95;201°56';27.7;27°42';59.18;???;Io;5000;Reshef Patera;Reshef Patera;Patera, paterae;PE;59.18;27.7;201.95;28.48;26.84;202.76;201.2;Planetographic  +East  0 - 360;;Phoenician god of lightning, sun, and thunder.;Asia;Phoenician;Approved;2006;83;10.01.2006;
Io;[RESHET CATENA];IOCA53N5452;Formation nommée;Chaîne de cratères;CA;[RESHET CATENA];Approuvé par l'UAI en 1985;Dieu;Peuple sémite;sémite;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du Soleil araméen;54.52;54°31';0.53;0°31';148.34;???;Io;5001;[Reshet Catena];Reshet Catena;Catena, catenae;CA;148.34;0.53;54.52;2.35;-1.42;56.7;52.46;Planetographic  +East  0 - 360;;Aramaic sun god. (Changed to Reshet Patera.);Asia;Semitic;Dropped;1985;27;03.01.2007;
Io;RESHET PATERA;IOPE79N5438;Formation nommée;Cratère complexe / Caldera;PE;RESHET PATERA;Approuvé par l'UAI en 1985;Dieu;Peuple sémite;sémite;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du Soleil araméen;54.38;54°22';0.79;0°47';146.07;???;Io;14129;Reshet Patera;Reshet Patera;Patera, paterae;PE;146.07;0.79;54.38;2.29;-1.37;56.58;52.51;Planetographic  +East  0 - 360;;Aramaic sun god.;Asia;Semitic;Approved;1985;27;10.01.2006;
Io;RUAUMOKO PATERA;IOPE1472N22026;Formation nommée;Cratère complexe / Caldera;PE;RUAUMOKO PATERA;Approuvé par l'UAI en 2003;Dieu;Polynésie;polynésien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu polynésien qui cause les tremblements de terre et les éruptions volcaniques;220.26;220°15';14.72;14°43';18.28;???;Io;5210;Ruaumoko Patera;Ruaumoko Patera;Patera, paterae;PE;18.28;14.72;220.26;14.95;14.45;220.49;220.06;Planetographic  +East  0 - 360;;Polynesian god who causes earthquakes and volcanoes.;Oceania;Polynesia;Approved;2003;83;5/15/10;
Io;RUWA PATERA;IOPE20N35835;Formation nommée;Cratère complexe / Caldera;PE;RUWA PATERA;Approuvé par l'UAI en 1979;Dieu;Tanzanie;tanzanien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu africain du Soleil associé au Mont Kilimandjaro;358.35;358°21';0.2;0°12';51.39;???;Io;5243;Ruwa Patera;Ruwa Patera;Patera, paterae;PE;51.39;0.2;358.35;0.81;-0.48;359.18;357.58;Planetographic  +East  0 - 360;;African sun god associated Mt. Kilimanjaro.;Africa;Tanzania;Approved;1979;27;10.01.2006;
Io;SAVITR PATERA;IOPE4851N23681;Formation nommée;Cratère complexe / Caldera;PE;SAVITR PATERA;Approuvé par l'UAI en 2000;Dieu;Inde;indien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu hindou du Soleil levant;236.81;236°48';48.51;48°30';104.8;???;Io;5346;Savitr Patera;Savitr Patera;Patera, paterae;PE;104.8;48.51;236.81;49.56;47.53;239.29;234.34;Planetographic  +East  0 - 360;;Hindu sun god.;Asia;India;Approved;2000;83;10.01.2006;
Io;SED PATERA;IOPE294S5628;Formation nommée;Cratère complexe / Caldera;PE;SED PATERA;Approuvé par l'UAI en 1985;Divinité;Phénicie;phénicien;Non applicable;Non applicable;Non applicable;Non applicable;Conducteur phénicien du chariot du Soleil;56.28;56°16';-2.94;-2°56';55.12;???;Io;5807;Sed Patera;Sed Patera;Patera, paterae;PE;55.12;-2.94;56.28;-2.15;-3.63;56.97;55.58;Planetographic  +East  0 - 360;;Phoenician chariot rider of the Sun.;Asia;Phoenician;Approved;1985;27;11/17/08;
Io;SENGEN PATERA;IOPE3286S5621;Formation nommée;Cratère complexe / Caldera;PE;SENGEN PATERA;Approuvé par l'UAI en 1979;Dieu;Japon;japonais;Non applicable;Non applicable;Non applicable;Non applicable;Divinité japonaise du mont Fujiyama;56.21;56°12';-32.86;-32°52';65.99;???;Io;5429;Sengen Patera;Sengen Patera;Patera, paterae;PE;65.99;-32.86;56.21;-31.92;-33.8;57.23;55.18;Planetographic  +East  0 - 360;;Japanese. deity of Mt. Fujiyama.;Asia;Japan;Approved;1979;1;5/15/10;
Io;SETHLAUS PATERA;IOPE5229S16613;Formation nommée;Cratère complexe / Caldera;PE;SETHLAUS PATERA;Approuvé par l'UAI en 1997;Héros;Italie;italien;Non applicable;Non applicable;Non applicable;Non applicable;Forgeron céleste étrusque;166.13;166°7';-52.29;-52°17';74.54;???;Io;5442;Sethlaus Patera;Sethlaus Patera;Patera, paterae;PE;74.54;-52.29;166.13;-51.4;-53.04;168.03;164.24;Planetographic  +East  0 - 360;;Etruscan celestial smith.;Europe;Italy;Approved;1997;83;10.01.2006;
Io;SETH MONS;IOMO1076S22587;Formation nommée;Montagnes;MO;SETH MONS;Approuvé par l'UAI en 2000;Dieu;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu égyptien du tonnerre;225.87;225°52';-10.76;-10°46';128.02;???;Io;5440;Seth Mons;Seth Mons;Mons, montes;MO;128.02;-10.76;225.87;-8.67;-12.66;228.05;224.06;Planetographic  +East  0 - 360;;Egyptian thunder god.;Africa;Egypt;Approved;2000;157;10.01.2006;
Io;SETH PATERA;IOPE531S22797;Formation nommée;Cratère complexe / Caldera;PE;SETH PATERA;Approuvé par l'UAI en 2000;Dieu;Egypte;égyptien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu égyptien du tonnerre;227.97;227°58';-5.31;-5°19';18.48;???;Io;5441;Seth Patera;Seth Patera;Patera, paterae;PE;18.48;-5.31;227.97;-5.1;-5.5;228.19;227.74;Planetographic  +East  0 - 360;;Egyptian thunder god.;Africa;Egypt;Approved;2000;157;10.01.2006;
Io;SHAKURU PATERA;IOPE2400N9410;Formation nommée;Cratère complexe / Caldera;PE;SHAKURU PATERA;Approuvé par l'UAI en 1979;Dieu;Peuple pawnee;pawnee;Non applicable;Non applicable;Non applicable;Non applicable;Dieu pawnee du Soleil levant qui donne lumière et chaleur;94.1;94°5';24;24°0';110.22;???;Io;5458;Shakuru Patera;Shakuru Patera;Patera, paterae;PE;110.22;24;94.1;25.46;22.23;95.08;93.58;Planetographic  +East  0 - 360;;Pawnee (USA) sun god of the East. gives light and heat.;North America;Pawnee;Approved;1979;1;04.09.2009;
Io;SHAMASH PATERA;IOPE3549S20747;Formation nommée;Cratère complexe / Caldera;PE;SHAMASH PATERA;Approuvé par l'UAI en 1979;Dieu;Assyrie / Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du Soleil assyro-babylonien;207.47;207°28';-35.49;-35°29';112.98;???;Io;5462;Shamash Patera;Shamash Patera;Patera, paterae;PE;112.98;-35.49;207.47;-34.01;-37.34;208.96;205.85;Planetographic  +East  0 - 360;;Assyro-Babylonian sun god.;Asia;Assyro-Babylonian;Approved;1979;1;04.09.2009;
