BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Europa;DAGDA;EUAA3735N19126;Named formation;Crater;AA;DAGDA;Approuved by IAU in 2006;Deity;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;One of the chief deities of the Tuatha de Danann in Irish mythology.;191.26;191°15';37.35;37°21';9.8;9.8;Europa;6968;Dagda;Dagda;Crater, craters;AA;9.8;37.35;191.26;37.5;37.17;191.46;191.06;Planetographic  +East  0 - 360;;One of the chief deities of the Tuatha de Danann in Irish mythology.;Europe;Ireland;Approved;2006;83;10.01.2006;
Europa;DEIRDRE;EUAA6540S15270;Named formation;Crater;AA;DEIRDRE;Approuved by IAU in 2000;Human;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;The most beautiful woman in Irish myths.;152.7;152°41';-65.4;-65°-24';4.5;4.5;Europa;1461;Deirdre;Deirdre;Crater, craters;AA;4.5;-65.4;152.7;-65.3;-65.5;152.9;152.5;Planetographic  +East  0 - 360;;The most beautiful woman in Irish myths.;Europe;Ireland;Approved;2000;160;10.01.2006;
Europa;DELPHI FLEXUS;EUFE6820S18590;Named formation;Curvilinear low ridge;FE;DELPHI FLEXUS;Approuved by IAU in 1985;Place;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Where the cow led Cadmus before it stopped at the site of Thebes.;185.9;185°54';-68.2;-68°-12';793;???;Europa;1476;Delphi Flexus;Delphi Flexus;Flexus, flexÅ«s;FE;793;-68.2;185.9;-62.6;-69.1;217.7;148.1;Planetographic  +East  0 - 360;;Where the cow led Cadmus before it stopped at the site of Thebes.;Europe;Greek;Approved;1985;19;10.01.2006;
Europa;DIARMUID;EUAA6130S25800;Named formation;Crater;AA;DIARMUID;Approuved by IAU in 2000;Human;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Handsome Irish mythological warrior, husband of GrÃ¡inne.;258;258°0';-61.3;-61°-17';8.2;8.2;Europa;1526;Diarmuid;Diarmuid;Crater, craters;AA;8.2;-61.3;258;-61.2;-61.5;258.4;257.7;Planetographic  +East  0 - 360;;Handsome Irish mythological warrior, husband of GrÃ¡inne.;Europe;Ireland;Approved;2000;152;11/17/08;
Europa;DRIZZLECOMB LINEA;EULI770N24830;Named formation;Dark or bright elongate marking;LI;DRIZZLECOMB LINEA;Approuved by IAU in 2003;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Stone row in England.;248.3;248°18';7.7;7°42';1500;???;Europa;1640;Drizzlecomb Linea;Drizzlecomb Linea;Linea, lineae;LI;1500;7.7;248.3;24.5;-15;263;225.2;Planetographic  +East  0 - 360;;Stone row in England.;Europe;Celtic;Approved;2003;142;10.01.2006;
Europa;DRUMSKINNY LINEA;EULI4830N19900;Named formation;Dark or bright elongate marking;LI;DRUMSKINNY LINEA;Approuved by IAU in 2003;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Stone row in Ireland.;199;199°0';48.3;48°17';1375;???;Europa;1643;Drumskinny Linea;Drumskinny Linea;Linea, lineae;LI;1375;48.3;199;60.7;23.9;218.3;167.6;Planetographic  +East  0 - 360;;Stone row in Ireland.;Europe;Celtic;Approved;2003;142;10.01.2006;
Europa;DYFED REGIO;EURE1000N11000;Named formation;Broad geographic region;RE;DYFED REGIO;Approuved by IAU in May 11, 2007;Place;Wales;Welsh;Not appliable;Not appliable;Not appliable;Not appliable;In Welsh mythology, the southwestern kingdom of Wales just east of Annwn, containing a mysterious realm.  ;110;110°0';10;10°0';1750;???;Europa;14293;Dyfed Regio;Dyfed Regio;Regio, regiones;RE;1750;10;110;42;-22;135;78;Planetographic  +East  0 - 360;;In Welsh mythology, the southwestern kingdom of Wales just east of Annwn, containing a mysterious realm.  ;Europe;Wales;Approved;May 11, 2007;160;05.11.2007;
Europa;DYLAN;EUAA5530S27560;Named formation;Crater;AA;DYLAN;Approuved by IAU in 2000;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic sea god.;275.6;275°36';-55.3;-55°-17';5.3;5.3;Europa;1683;Dylan;Dylan;Crater, craters;AA;5.3;-55.3;275.6;;;;;Planetographic  +East  0 - 360;;Celtic sea god.;Europe;Celtic;Approved;2000;83;10.01.2006;
Europa;ECHION LINEA;EULI1160S17480;Named formation;Dark or bright elongate marking;LI;ECHION LINEA;Approuved by IAU in 1985;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Survivor of the men Cadmus sowed with the dragon's teeth. a founder of Thebes.;174.8;174°48';-11.6;-11°-36';1026;???;Europa;1708;Echion Linea;Echion Linea;Linea, lineae;LI;1026;-11.6;174.8;-9.9;-16;195.3;158.4;Planetographic  +East  0 - 360;;Survivor of the men Cadmus sowed with the dragon's teeth. a founder of Thebes.;Europe;Greek;Approved;1985;19;10.01.2006;
Europa;ELATHAN;EUAA3190S28020;Named formation;Crater;AA;ELATHAN;Approuved by IAU in 2000;King;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Handsome Celtic king, father of sun god Bres.;280.2;280°11';-31.9;-31°-53';2.5;2.5;Europa;1757;Elathan;Elathan;Crater, craters;AA;2.5;-31.9;280.2;;;;;Planetographic  +East  0 - 360;;Handsome Celtic king, father of sun god Bres.;Europe;Celtic;Approved;2000;83;10.01.2006;
Europa;EOCHAID;EUAA5048S12667;Named formation;Crater;AA;EOCHAID;Approuved by IAU in 2006;King;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;King of the Fir Bolgs in Celtic mythology.;126.67;126°40';-50.48;-50°-28';10.6;10.6;Europa;6969;Eochaid;Eochaid;Crater, craters;AA;10.6;-50.48;126.67;-50.2;-50.66;127.05;126.31;Planetographic  +East  0 - 360;;King of the Fir Bolgs in Celtic mythology.;Europe;Celtic;Approved;2006;83;10.01.2006;
Europa;EUPHEMUS LINEA;EULI1140S31430;Named formation;Dark or bright elongate marking;LI;EUPHEMUS LINEA;Approuved by IAU in 2003;Demigod;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;In Greek mythology, son of Europa and Poseidon who could walk on water.;314.3;314°18';-11.4;-11°-24';1250;???;Europa;1871;Euphemus Linea;Euphemus Linea;Linea, lineae;LI;1250;-11.4;314.3;-2.6;-20;333.1;290.2;Planetographic  +East  0 - 360;;In Greek mythology, son of Europa and Poseidon who could walk on water.;Europe;Greek;Approved;2003;1;10.01.2006;
Europa;FALGA REGIO;EURE3000N15000;Named formation;Broad geographic region;RE;FALGA REGIO;Approuved by IAU in May 11, 2007;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;In Celtic mythology, island where Midir had a stronghold.;150;150°0';30;30°0';2500;???;Europa;14294;Falga Regio;Falga Regio;Regio, regiones;RE;2500;30;150;55;0;210;72;Planetographic  +East  0 - 360;;In Celtic mythology, island where Midir had a stronghold.;Europe;Celtic;Approved;May 11, 2007;128;05.11.2007;
Europa;GLAUKOS LINEA;EULI5780N12910;Named formation;Dark or bright elongate marking;LI;GLAUKOS LINEA;Approuved by IAU in 2003;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Minos in Greek mythology.;129.1;129°5';57.8;57°47';1400;???;Europa;2185;Glaukos Linea;Glaukos Linea;Linea, lineae;LI;1400;57.8;129.1;78.4;30.7;131.4;107.7;Planetographic  +East  0 - 360;;Son of Minos in Greek mythology.;Europe;Greek;Approved;2003;27;10.01.2006;
Europa;GORTYNA FLEXUS;EUFE4210S21540;Named formation;Curvilinear low ridge;FE;GORTYNA FLEXUS;Approuved by IAU in 1979;Place;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Place on Crete where Zeus brought Europa.;215.4;215°24';-42.1;-42°-6';940;???;Europa;2226;Gortyna Flexus;Gortyna Flexus;Flexus, flexÅ«s;FE;940;-42.1;215.4;-25.4;-50;223.2;184.2;Planetographic  +East  0 - 360;;Place on Crete where Zeus brought Europa.;Europe;Greek;Approved;1979;19;10.01.2006;
Europa;GOVANNAN;EUAA3730S5720;Named formation;Crater;AA;GOVANNAN;Approuved by IAU in 1997;Human;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;One of the Children of Don, a smith and brewer.;57.2;57°12';-37.3;-37°-17';11.5;11.5;Europa;2228;Govannan;Govannan;Crater, craters;AA;11.5;-37.3;57.2;-37;-37.4;57.5;57;Planetographic  +East  0 - 360;;One of the Children of Don, a smith and brewer.;Europe;Celtic;Approved;1997;1;10.01.2006;
Europa;GRAINNE;EUAA5970S26060;Named formation;Crater;AA;GRAINNE;Approuved by IAU in 2000;Human;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Daughter of Cormac Mac Art, the mythical High King of Ulster, and wife of Diarmuid.;260.6;260°36';-59.7;-59°-42';13.5;13.5;Europa;2263;GrÃ¡inne;Grainne;Crater, craters;AA;13.5;-59.7;260.6;-59.5;-60;261.1;260.1;Planetographic  +East  0 - 360;;Daughter of Cormac Mac Art, the mythical High King of Ulster, and wife of Diarmuid.;Europe;Ireland;Approved;2000;152;11/17/08;
Europa;GWERN;EUAA914N1546;Named formation;Crater;AA;GWERN;Approuved by IAU in 2006;Human;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Son of Branwen in Celtic mythology.;15.46;15°27';9.14;9°8';22.2;22.2;Europa;6970;Gwern;Gwern;Crater, craters;AA;22.2;9.14;15.46;9.57;8.73;15.91;15.03;Planetographic  +East  0 - 360;;Son of Branwen in Celtic mythology.;Europe;Celtic;Approved;2006;83;10.01.2006;
Europa;GWYDION;EUAA6050S27840;Named formation;Crater;AA;GWYDION;Approuved by IAU in 2000;Poet;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic poet, one of the children of the mother goddess Don.;278.4;278°23';-60.5;-60°-30';5;5;Europa;2296;Gwydion;Gwydion;Crater, craters;AA;5;-60.5;278.4;-60.4;-60.6;278.6;278.3;Planetographic  +East  0 - 360;;Celtic poet, one of the children of the mother goddess Don.;Europe;Celtic;Approved;2000;1;10.01.2006;
Europa;HARMONIA LINEA;EULI2800N18830;Named formation;Dark or bright elongate marking;LI;HARMONIA LINEA;Approuved by IAU in 1997;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Wife of Cadmus.;188.3;188°18';28;28°0';1154;???;Europa;2368;Harmonia Linea;Harmonia Linea;Linea, lineae;LI;1154;28;188.3;32;17.5;210.9;167.4;Planetographic  +East  0 - 360;;Wife of Cadmus.;Europe;Greek;Approved;1997;1;10.01.2006;
Europa;HYPERENOR LINEA;EULI1210S3560;Named formation;Dark or bright elongate marking;LI;HYPERENOR LINEA;Approuved by IAU in 1997;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Survivor of the men Cadmus sowed with dragon's teeth, a founder of Thebes.;35.6;35°36';-12.1;-12°-5';2996;???;Europa;2615;Hyperenor Linea;Hyperenor Linea;Linea, lineae;LI;2996;-12.1;35.6;35;-45.3;345.4;65.6;Planetographic  +East  0 - 360;;Survivor of the men Cadmus sowed with dragon's teeth, a founder of Thebes.;Europe;Greek;Approved;1997;19;10.01.2006;
